|	 ( mouse spotted )	 ( ( mouse ( and oona ) ) striped )	>
#	 ( ( oona ( or mouse ) ) pony )	 ( ( oona ( or mouse ) ) pet )	=
<	 ( ollie pet )	 ( ( ollie ( or pumpkin ) ) pet )	<
#	 ( ( ollie ( or ( mertz ( and ollie ) ) ) ) pony )	 ( oona pony )	#
|	 ( millie pony )	 ( ( oona ( and millie ) ) dog )	>
>	 ( oona striped )	 ( ( mertz ( and oona ) ) kitten )	>
|	 ( abby puppy )	 ( ( mouse ( and abby ) ) pony )	>
|	 ( ( mertz ( or oona ) ) dog )	 ( mertz cat )	>
|	 ( abby striped )	 ( ( millie ( and abby ) ) spotted )	>
<	 ( ( mouse ( and marcel ) ) cat )	 ( mouse cat )	<
|	 ( pumpkin striped )	 ( ( marcel ( and pumpkin ) ) spotted )	>
#	 ( ( millie ( and oona ) ) kitten )	 ( pumpkin kitten )	#
#	 ( ( marcel ( and marcel ) ) cat )	 ( ollie cat )	#
<	 ( ( millie ( and marcel ) ) kitten )	 ( millie cat )	<
#	 ( oona striped )	 ( ( ollie ( and mertz ) ) spotted )	#
#	 ( pumpkin pet )	 ( ( abby ( or marcel ) ) pet )	#
#	 ( ollie spotted )	 ( ( mouse ( or mouse ) ) striped )	#
#	 ( ( mouse ( or millie ) ) spotted )	 ( oona spotted )	#
<	 ( millie kitten )	 ( ( millie ( or mertz ) ) kitten )	<
>	 ( mertz puppy )	 ( ( oona ( and mertz ) ) puppy )	>
#	 ( abby striped )	 ( ( mouse ( or mertz ) ) striped )	#
#	 ( ( pumpkin ( or abby ) ) pet )	 ( ( abby ( or mertz ) ) pet )	#
#	 ( ( pumpkin ( and abby ) ) puppy )	 ( ollie puppy )	#
#	 ( ( millie ( or millie ) ) striped )	 ( marcel spotted )	#
<	 ( ( ollie ( and ollie ) ) puppy )	 ( ollie dog )	=
>	 ( ( abby ( or marcel ) ) striped )	 ( marcel striped )	>
#	 ( ( pumpkin ( and abby ) ) dog )	 ( mertz dog )	#
|	 ( marcel cat )	 ( ( ollie ( and marcel ) ) puppy )	>
|	 ( ( ( mertz ( or mouse ) ) ( or abby ) ) pony )	 ( mertz cat )	>
|	 ( mertz striped )	 ( ( mertz ( and millie ) ) puppy )	>
|	 ( mouse pony )	 ( ( pumpkin ( and mouse ) ) puppy )	>
#	 ( ( oona ( or ollie ) ) spotted )	 ( mertz spotted )	#
<	 ( ( ollie ( and mouse ) ) pet )	 ( ( ollie ( or marcel ) ) pet )	<
=	 ( oona dog )	 ( ( oona ( and oona ) ) dog )	=
#	 ( marcel puppy )	 ( ( mertz ( or mouse ) ) puppy )	#
#	 ( mertz pet )	 ( ( marcel ( or marcel ) ) pet )	#
<	 ( ( pumpkin ( and mouse ) ) puppy )	 ( pumpkin dog )	<
>	 ( abby puppy )	 ( ( abby ( and mouse ) ) puppy )	>
>	 ( ( millie ( or ollie ) ) striped )	 ( millie kitten )	>
|	 ( millie kitten )	 ( ( millie ( and abby ) ) dog )	>
#	 ( ( millie ( or abby ) ) puppy )	 ( ( abby ( or ollie ) ) puppy )	#
>	 ( oona spotted )	 ( ( oona ( and ollie ) ) puppy )	>
#	 ( millie pet )	 ( ( millie ( or millie ) ) puppy )	=
#	 ( pumpkin spotted )	 ( ( millie ( and mertz ) ) striped )	#
>	 ( ( mertz ( or mouse ) ) puppy )	 ( mertz puppy )	>
#	 ( marcel puppy )	 ( ( ollie ( and abby ) ) puppy )	#
>	 ( ( marcel ( or ollie ) ) dog )	 ( marcel puppy )	>
|	 ( ollie puppy )	 ( ( ollie ( and ollie ) ) pony )	=
#	 ( ( mertz ( or ( mouse ( and mertz ) ) ) ) cat )	 ( mertz pet )	=
|	 ( ( mertz ( or millie ) ) cat )	 ( mertz dog )	>
#	 ( ( abby ( and marcel ) ) cat )	 ( millie cat )	#
#	 ( ( oona ( or oona ) ) striped )	 ( marcel spotted )	#
>	 ( ( oona ( or ollie ) ) cat )	 ( oona kitten )	>
#	 ( ( marcel ( and marcel ) ) pet )	 ( marcel dog )	=
<	 ( ollie kitten )	 ( ( ollie ( or ollie ) ) cat )	=
|	 ( ollie pony )	 ( ( pumpkin ( and ollie ) ) kitten )	>
|	 ( pumpkin dog )	 ( ( millie ( and pumpkin ) ) kitten )	>
=	 ( mertz cat )	 ( ( mertz ( and mertz ) ) cat )	=
#	 ( ( oona ( and marcel ) ) dog )	 ( mouse dog )	#
#	 ( ( pumpkin ( and millie ) ) spotted )	 ( abby spotted )	#
#	 ( millie pet )	 ( ( oona ( and ollie ) ) pet )	#
<	 ( ( pumpkin ( and mouse ) ) puppy )	 ( mouse dog )	<
>	 ( oona cat )	 ( ( millie ( and oona ) ) kitten )	>
#	 ( ( pumpkin ( or pumpkin ) ) pony )	 ( ollie pony )	#
|	 ( ( pumpkin ( and pumpkin ) ) pony )	 ( pumpkin kitten )	=
<	 ( ( mertz ( or mertz ) ) puppy )	 ( mertz dog )	=
#	 ( millie spotted )	 ( ( pumpkin ( or marcel ) ) spotted )	#
<	 ( millie dog )	 ( ( millie ( or ( oona ( and marcel ) ) ) ) dog )	<
#	 ( marcel cat )	 ( ( pumpkin ( and pumpkin ) ) cat )	#
#	 ( ( ollie ( and mouse ) ) dog )	 ( abby dog )	#
#	 ( millie striped )	 ( ( ollie ( and ollie ) ) spotted )	#
>	 ( ( millie ( or marcel ) ) spotted )	 ( millie spotted )	>
|	 ( ( abby ( or ollie ) ) cat )	 ( ollie pony )	>
