#	 ( mouse pet )	 ( abby pet )	#
|	 ( pumpkin dog )	 ( pumpkin kitten )	=
<	 ( mertz kitten )	 ( mertz striped )	=
|	 ( marcel pony )	 ( marcel kitten )	=
#	 ( oona dog )	 ( millie dog )	#
|	 ( abby puppy )	 ( abby pony )	=
#	 ( marcel puppy )	 ( pumpkin puppy )	#
|	 ( abby kitten )	 ( abby puppy )	=
#	 ( mertz pet )	 ( mertz spotted )	=
<	 ( marcel puppy )	 ( marcel dog )	=
#	 ( oona pony )	 ( mertz pony )	#
#	 ( oona pony )	 ( abby pony )	#
#	 ( abby puppy )	 ( abby pet )	=
#	 ( oona pet )	 ( oona spotted )	=
|	 ( oona kitten )	 ( oona pony )	=
#	 ( pumpkin striped )	 ( pumpkin dog )	=
#	 ( pumpkin cat )	 ( pumpkin pet )	=
#	 ( abby kitten )	 ( abby pet )	=
|	 ( mouse kitten )	 ( mouse dog )	=
#	 ( ollie spotted )	 ( mertz striped )	#
#	 ( ollie striped )	 ( oona striped )	#
<	 ( millie kitten )	 ( millie cat )	=
#	 ( ollie spotted )	 ( ollie pony )	=
#	 ( abby dog )	 ( marcel dog )	#
>	 ( mouse spotted )	 ( mouse puppy )	=
|	 ( mertz cat )	 ( mertz pony )	=
#	 ( millie spotted )	 ( millie dog )	=
#	 ( abby pony )	 ( millie pony )	#
#	 ( mertz kitten )	 ( mouse kitten )	#
#	 ( abby pet )	 ( abby pony )	=
#	 ( mertz spotted )	 ( mertz pony )	=
=	 ( abby cat )	 ( abby cat )	=
#	 ( millie kitten )	 ( millie pet )	=
|	 ( mertz pony )	 ( mertz puppy )	=
>	 ( mertz dog )	 ( mertz puppy )	=
#	 ( pumpkin spotted )	 ( pumpkin dog )	=
>	 ( millie spotted )	 ( millie puppy )	=
#	 ( pumpkin spotted )	 ( ollie spotted )	#
#	 ( marcel pony )	 ( millie pony )	#
#	 ( oona striped )	 ( oona pet )	=
#	 ( pumpkin cat )	 ( pumpkin striped )	=
#	 ( mouse pet )	 ( mouse spotted )	=
#	 ( oona pet )	 ( pumpkin pet )	#
#	 ( marcel pony )	 ( marcel spotted )	=
#	 ( mouse striped )	 ( mouse pet )	=
#	 ( mouse pony )	 ( mouse pet )	=
|	 ( millie cat )	 ( millie pony )	=
#	 ( ollie spotted )	 ( ollie pet )	=
#	 ( abby pet )	 ( oona pet )	#
|	 ( millie kitten )	 ( millie dog )	=
#	 ( abby spotted )	 ( abby dog )	=
#	 ( abby puppy )	 ( oona puppy )	#
|	 ( mertz pony )	 ( mertz kitten )	=
#	 ( mertz pet )	 ( mertz dog )	=
#	 ( pumpkin cat )	 ( pumpkin spotted )	=
#	 ( millie cat )	 ( millie striped )	=
#	 ( abby pony )	 ( ollie pony )	#
>	 ( oona striped )	 ( oona kitten )	=
^	 ( abby striped )	 ( abby spotted )	=
|	 ( oona cat )	 ( oona dog )	=
#	 ( marcel dog )	 ( mertz dog )	#
#	 ( millie pony )	 ( millie pet )	=
|	 ( abby dog )	 ( abby cat )	=
>	 ( millie cat )	 ( millie kitten )	=
=	 ( marcel puppy )	 ( marcel puppy )	=
#	 ( mertz dog )	 ( abby dog )	#
#	 ( pumpkin pet )	 ( pumpkin kitten )	=
#	 ( millie dog )	 ( mertz dog )	#
=	 ( pumpkin striped )	 ( pumpkin striped )	=
|	 ( marcel dog )	 ( marcel pony )	=
#	 ( marcel kitten )	 ( mertz kitten )	#
#	 ( pumpkin puppy )	 ( mouse puppy )	#
#	 ( pumpkin pony )	 ( marcel pony )	#
=	 ( abby kitten )	 ( abby kitten )	=
|	 ( ollie puppy )	 ( ollie pony )	=
#	 ( abby cat )	 ( mouse cat )	#
#	 ( mertz pet )	 ( mertz puppy )	=
#	 ( millie kitten )	 ( oona kitten )	#
|	 ( ollie cat )	 ( ollie dog )	=
#	 ( abby cat )	 ( abby spotted )	=
#	 ( mouse kitten )	 ( mouse pet )	=
#	 ( marcel cat )	 ( mertz cat )	#
|	 ( marcel kitten )	 ( marcel spotted )	=
|	 ( mertz puppy )	 ( mertz kitten )	=
#	 ( mouse dog )	 ( mouse striped )	=
#	 ( mouse pet )	 ( millie pet )	#
#	 ( abby puppy )	 ( pumpkin puppy )	#
#	 ( oona pet )	 ( oona striped )	=
#	 ( ollie pony )	 ( ollie pet )	=
#	 ( mertz pet )	 ( mertz kitten )	=
#	 ( marcel spotted )	 ( mouse striped )	#
#	 ( mertz pet )	 ( mertz striped )	=
=	 ( millie puppy )	 ( millie puppy )	=
#	 ( oona cat )	 ( oona spotted )	=
|	 ( abby cat )	 ( abby pony )	=
#	 ( marcel spotted )	 ( marcel pony )	=
|	 ( marcel pony )	 ( marcel dog )	=
#	 ( millie cat )	 ( mouse cat )	#
<	 ( millie puppy )	 ( millie spotted )	=
#	 ( mertz kitten )	 ( abby kitten )	#
#	 ( oona pony )	 ( oona spotted )	=
|	 ( mertz kitten )	 ( mertz spotted )	=
#	 ( oona cat )	 ( oona striped )	=
|	 ( pumpkin pony )	 ( pumpkin kitten )	=
#	 ( mouse pony )	 ( mouse striped )	=
#	 ( marcel striped )	 ( marcel pony )	=
#	 ( ollie pony )	 ( ollie spotted )	=
#	 ( mertz striped )	 ( mouse spotted )	#
#	 ( millie dog )	 ( oona dog )	#
