
% MQ all-most
<	all hippo	most hippo
<	all hungry	most hungry
<	all non-ape	most non-ape
<	all ape	most ape
<	all animal	most animal
<	all dog	most dog
<	all cat	most cat
<	all unable	most unable
<	all able	most able
<	all Thai	most Thai
<	all Asian	most Asian
<	all bird	most bird
<	all crow	most crow
<	all sofa	most sofa
<	all couch	most couch
<	all snail	most snail
<	all vertebrate	most vertebrate
<	all invertebrate	most invertebrate
<	all bark	most bark
<	all puppy	most puppy
<	all feline	most feline
<	all mobile	most mobile
<	all immobile	most immobile
<	all dead	most dead
<	all live	most live
<	all European	most European
<	all French	most French
<	all Parisian	most Parisian
<	all human	most human
<	all animate	most animate
<	all inanimate	most inanimate
<	all seat	most seat
<	all bench	most bench
<	all woody	most woody
<	all plant	most plant
<	all tree	most tree
<	all oak	most oak
<	all bush	most bush
<	all destructible	most destructible
<	all indestructible	most indestructible
<	all mammal	most mammal


% MQ all-three
#	all hippo	three hippo
#	all hungry	three hungry
#	all non-ape	three non-ape
#	all ape	three ape
#	all animal	three animal
#	all dog	three dog
#	all cat	three cat
#	all unable	three unable
#	all able	three able
#	all Thai	three Thai
#	all Asian	three Asian
#	all bird	three bird
#	all crow	three crow
#	all sofa	three sofa
#	all couch	three couch
#	all snail	three snail
#	all vertebrate	three vertebrate
#	all invertebrate	three invertebrate
#	all bark	three bark
#	all puppy	three puppy
#	all feline	three feline
#	all mobile	three mobile
#	all immobile	three immobile
#	all dead	three dead
#	all live	three live
#	all European	three European
#	all French	three French
#	all Parisian	three Parisian
#	all human	three human
#	all animate	three animate
#	all inanimate	three inanimate
#	all seat	three seat
#	all bench	three bench
#	all woody	three woody
#	all plant	three plant
#	all tree	three tree
#	all oak	three oak
#	all bush	three bush
#	all destructible	three destructible
#	all indestructible	three indestructible
#	all mammal	three mammal

% MQ all-two
#	all hippo	two hippo
#	all hungry	two hungry
#	all non-ape	two non-ape
#	all ape	two ape
#	all animal	two animal
#	all dog	two dog
#	all cat	two cat
#	all unable	two unable
#	all able	two able
#	all Thai	two Thai
#	all Asian	two Asian
#	all bird	two bird
#	all crow	two crow
#	all sofa	two sofa
#	all couch	two couch
#	all snail	two snail
#	all vertebrate	two vertebrate
#	all invertebrate	two invertebrate
#	all bark	two bark
#	all puppy	two puppy
#	all feline	two feline
#	all mobile	two mobile
#	all immobile	two immobile
#	all dead	two dead
#	all live	two live
#	all European	two European
#	all French	two French
#	all Parisian	two Parisian
#	all human	two human
#	all animate	two animate
#	all inanimate	two inanimate
#	all seat	two seat
#	all bench	two bench
#	all woody	two woody
#	all plant	two plant
#	all tree	two tree
#	all oak	two oak
#	all bush	two bush
#	all destructible	two destructible
#	all indestructible	two indestructible
#	all mammal	two mammal

% BQ+MTI all-some animal
<	all hippo	some animal
<	all hungry	some animal
<	all non-ape	some animal
<	all ape	some animal
<	all animal	some animal
<	all dog	some animal
<	all cat	some animal
<	all unable	some animal
<	all able	some animal
<	all Thai	some animal
<	all Asian	some animal
<	all bird	some animal
<	all crow	some animal
#	all sofa	some animal
#	all couch	some animal
<	all snail	some animal
<	all vertebrate	some animal
<	all invertebrate	some animal
<	all bark	some animal
<	all puppy	some animal
<	all feline	some animal
<	all mobile	some animal
#	all immobile	some animal
<	all dead	some animal
<	all live	some animal
<	all European	some animal
<	all French	some animal
<	all Parisian	some animal
<	all human	some animal
<	all animate	some animal
<	all inanimate	some animal
#	all seat	some animal
#	all bench	some animal
#	all woody	some animal
#	all plant	some animal
#	all tree	some animal
#	all oak	some animal
#	all bush	some animal
<	all destructible	some animal
#	all indestructible	some animal
<	all mammal	some animal

% BQ+MTI no-some animal
#	no hippo	some animal
#	no hungry	some animal
#	no non-ape	some animal
#	no ape	some animal
#	no dog	some animal
#	no cat	some animal
#	no unable	some animal
#	no able	some animal
#	no Thai	some animal
#	no Asian	some animal
#	no bird	some animal
#	no crow	some animal
#	no sofa	some animal
#	no couch	some animal
