=	European ( and hippo )	hippo ( and European )
=	European ( and hungry )	hungry ( and European )
=	European ( and non-ape )	non-ape ( and European )
=	European ( and ape )	ape ( and European )
=	European ( and animal )	animal ( and European )
=	European ( and dog )	dog ( and European )
=	European ( and cat )	cat ( and European )
=	European ( and unable )	unable ( and European )
=	European ( and able )	able ( and European )
=	European ( and Thai )	Thai ( and European )
=	European ( and Asian )	Asian ( and European )
=	European ( and bird )	bird ( and European )
=	European ( and crow )	crow ( and European )
=	European ( and sofa )	sofa ( and European )
=	European ( and couch )	couch ( and European )
=	European ( and snail )	snail ( and European )
=	European ( and vertebrate )	vertebrate ( and European )
=	European ( and invertebrate )	invertebrate ( and European )
=	European ( and bark )	bark ( and European )
=	European ( and puppy )	puppy ( and European )
=	European ( and feline )	feline ( and European )
=	European ( and mobile )	mobile ( and European )
=	European ( and immobile )	immobile ( and European )
=	European ( and dead )	dead ( and European )
=	European ( and live )	live ( and European )
=	European ( and European )	European ( and European )
=	European ( and French )	French ( and European )
=	European ( and Parisian )	Parisian ( and European )
=	European ( and human )	human ( and European )
=	European ( and animate )	animate ( and European )
=	European ( and inanimate )	inanimate ( and European )
=	European ( and seat )	seat ( and European )
=	European ( and bench )	bench ( and European )
=	European ( and woody )	woody ( and European )
=	European ( and plant )	plant ( and European )
=	European ( and tree )	tree ( and European )
=	European ( and oak )	oak ( and European )
=	European ( and bush )	bush ( and European )
=	European ( and destructible )	destructible ( and European )
=	European ( and indestructible )	indestructible ( and European )
=	European ( and mammal )	mammal ( and European )
