>	hippo	European ( and hippo )
>	hungry	European ( and hungry )
>	non-ape	European ( and non-ape )
>	ape	European ( and ape )
>	animal	European ( and animal )
>	dog	European ( and dog )
>	cat	European ( and cat )
>	unable	European ( and unable )
>	able	European ( and able )
>	Thai	European ( and Thai )
>	Asian	European ( and Asian )
>	bird	European ( and bird )
>	crow	European ( and crow )
>	sofa	European ( and sofa )
>	couch	European ( and couch )
>	snail	European ( and snail )
>	vertebrate	European ( and vertebrate )
>	invertebrate	European ( and invertebrate )
>	bark	European ( and bark )
>	puppy	European ( and puppy )
>	feline	European ( and feline )
>	mobile	European ( and mobile )
>	immobile	European ( and immobile )
>	dead	European ( and dead )
>	live	European ( and live )
>	European	European ( and European )
>	French	European ( and French )
>	Parisian	European ( and Parisian )
>	human	European ( and human )
>	animate	European ( and animate )
>	inanimate	European ( and inanimate )
>	seat	European ( and seat )
>	bench	European ( and bench )
>	woody	European ( and woody )
>	plant	European ( and plant )
>	tree	European ( and tree )
>	oak	European ( and oak )
>	bush	European ( and bush )
>	destructible	European ( and destructible )
>	indestructible	European ( and indestructible )
>	mammal	European ( and mammal )
