>	hippo	hippo ( and European )
>	hungry	hungry ( and European )
>	non-ape	non-ape ( and European )
>	ape	ape ( and European )
>	animal	animal ( and European )
>	dog	dog ( and European )
>	cat	cat ( and European )
>	unable	unable ( and European )
>	able	able ( and European )
>	Thai	Thai ( and European )
>	Asian	Asian ( and European )
>	bird	bird ( and European )
>	crow	crow ( and European )
>	sofa	sofa ( and European )
>	couch	couch ( and European )
>	snail	snail ( and European )
>	vertebrate	vertebrate ( and European )
>	invertebrate	invertebrate ( and European )
>	bark	bark ( and European )
>	puppy	puppy ( and European )
>	feline	feline ( and European )
>	mobile	mobile ( and European )
>	immobile	immobile ( and European )
>	dead	dead ( and European )
>	live	live ( and European )
>	European	European ( and European )
>	French	French ( and European )
>	Parisian	Parisian ( and European )
>	human	human ( and European )
>	animate	animate ( and European )
>	inanimate	inanimate ( and European )
>	seat	seat ( and European )
>	bench	bench ( and European )
>	woody	woody ( and European )
>	plant	plant ( and European )
>	tree	tree ( and European )
>	oak	oak ( and European )
>	bush	bush ( and European )
>	destructible	destructible ( and European )
>	indestructible	indestructible ( and European )
>	mammal	mammal ( and European )
