>	hippo	hippo ( and mobile )
>	hungry	hungry ( and mobile )
>	non-ape	non-ape ( and mobile )
>	ape	ape ( and mobile )
>	animal	animal ( and mobile )
>	dog	dog ( and mobile )
>	cat	cat ( and mobile )
>	unable	unable ( and mobile )
>	able	able ( and mobile )
>	Thai	Thai ( and mobile )
>	Asian	Asian ( and mobile )
>	bird	bird ( and mobile )
>	crow	crow ( and mobile )
>	sofa	sofa ( and mobile )
>	couch	couch ( and mobile )
>	snail	snail ( and mobile )
>	vertebrate	vertebrate ( and mobile )
>	invertebrate	invertebrate ( and mobile )
>	bark	bark ( and mobile )
>	puppy	puppy ( and mobile )
>	feline	feline ( and mobile )
>	mobile	mobile ( and mobile )
>	immobile	immobile ( and mobile )
>	dead	dead ( and mobile )
>	live	live ( and mobile )
>	European	European ( and mobile )
>	French	French ( and mobile )
>	Parisian	Parisian ( and mobile )
>	human	human ( and mobile )
>	animate	animate ( and mobile )
>	inanimate	inanimate ( and mobile )
>	seat	seat ( and mobile )
>	bench	bench ( and mobile )
>	woody	woody ( and mobile )
>	plant	plant ( and mobile )
>	tree	tree ( and mobile )
>	oak	oak ( and mobile )
>	bush	bush ( and mobile )
>	destructible	destructible ( and mobile )
>	indestructible	indestructible ( and mobile )
>	mammal	mammal ( and mobile )
