>	hippo	mobile ( and hippo )
>	hungry	mobile ( and hungry )
>	non-ape	mobile ( and non-ape )
>	ape	mobile ( and ape )
>	animal	mobile ( and animal )
>	dog	mobile ( and dog )
>	cat	mobile ( and cat )
>	unable	mobile ( and unable )
>	able	mobile ( and able )
>	Thai	mobile ( and Thai )
>	Asian	mobile ( and Asian )
>	bird	mobile ( and bird )
>	crow	mobile ( and crow )
>	sofa	mobile ( and sofa )
>	couch	mobile ( and couch )
>	snail	mobile ( and snail )
>	vertebrate	mobile ( and vertebrate )
>	invertebrate	mobile ( and invertebrate )
>	bark	mobile ( and bark )
>	puppy	mobile ( and puppy )
>	feline	mobile ( and feline )
>	mobile	mobile ( and mobile )
>	immobile	mobile ( and immobile )
>	dead	mobile ( and dead )
>	live	mobile ( and live )
>	European	mobile ( and European )
>	French	mobile ( and French )
>	Parisian	mobile ( and Parisian )
>	human	mobile ( and human )
>	animate	mobile ( and animate )
>	inanimate	mobile ( and inanimate )
>	seat	mobile ( and seat )
>	bench	mobile ( and bench )
>	woody	mobile ( and woody )
>	plant	mobile ( and plant )
>	tree	mobile ( and tree )
>	oak	mobile ( and oak )
>	bush	mobile ( and bush )
>	destructible	mobile ( and destructible )
>	indestructible	mobile ( and indestructible )
>	mammal	mobile ( and mammal )
