>	all ( European hippo )	all hippo
>	all ( European hungry )	all hungry
>	all ( European non-ape )	all non-ape
>	all ( European ape )	all ape
>	all ( European animal )	all animal
>	all ( European dog )	all dog
>	all ( European cat )	all cat
>	all ( European unable )	all unable
>	all ( European able )	all able
>	all ( European Thai )	all Thai
>	all ( European Asian )	all Asian
>	all ( European bird )	all bird
>	all ( European crow )	all crow
>	all ( European sofa )	all sofa
>	all ( European couch )	all couch
>	all ( European snail )	all snail
>	all ( European vertebrate )	all vertebrate
>	all ( European invertebrate )	all invertebrate
>	all ( European bark )	all bark
>	all ( European puppy )	all puppy
>	all ( European feline )	all feline
>	all ( European mobile )	all mobile
>	all ( European immobile )	all immobile
>	all ( European dead )	all dead
>	all ( European live )	all live
>	all ( European European )	all European
>	all ( European French )	all French
>	all ( European Parisian )	all Parisian
>	all ( European human )	all human
>	all ( European animate )	all animate
>	all ( European inanimate )	all inanimate
>	all ( European seat )	all seat
>	all ( European bench )	all bench
>	all ( European woody )	all woody
>	all ( European plant )	all plant
>	all ( European tree )	all tree
>	all ( European oak )	all oak
>	all ( European bush )	all bush
>	all ( European destructible )	all destructible
>	all ( European indestructible )	all indestructible
>	all ( European mammal )	all mammal
