|	all ( European hippo )	no hippo
|	all ( European hungry )	no hungry
|	all ( European non-ape )	no non-ape
|	all ( European ape )	no ape
|	all ( European animal )	no animal
|	all ( European dog )	no dog
|	all ( European cat )	no cat
|	all ( European unable )	no unable
|	all ( European able )	no able
|	all ( European Thai )	no Thai
|	all ( European Asian )	no Asian
|	all ( European bird )	no bird
|	all ( European crow )	no crow
|	all ( European sofa )	no sofa
|	all ( European couch )	no couch
|	all ( European snail )	no snail
|	all ( European vertebrate )	no vertebrate
|	all ( European invertebrate )	no invertebrate
|	all ( European bark )	no bark
|	all ( European puppy )	no puppy
|	all ( European feline )	no feline
|	all ( European mobile )	no mobile
|	all ( European immobile )	no immobile
|	all ( European dead )	no dead
|	all ( European live )	no live
|	all ( European European )	no European
|	all ( European French )	no French
|	all ( European Parisian )	no Parisian
|	all ( European human )	no human
|	all ( European animate )	no animate
|	all ( European inanimate )	no inanimate
|	all ( European seat )	no seat
|	all ( European bench )	no bench
|	all ( European woody )	no woody
|	all ( European plant )	no plant
|	all ( European tree )	no tree
|	all ( European oak )	no oak
|	all ( European bush )	no bush
|	all ( European destructible )	no destructible
|	all ( European indestructible )	no indestructible
|	all ( European mammal )	no mammal
