>	no ( European hippo )	no hippo
>	no ( European hungry )	no hungry
>	no ( European non-ape )	no non-ape
>	no ( European ape )	no ape
>	no ( European animal )	no animal
>	no ( European dog )	no dog
>	no ( European cat )	no cat
>	no ( European unable )	no unable
>	no ( European able )	no able
>	no ( European Thai )	no Thai
>	no ( European Asian )	no Asian
>	no ( European bird )	no bird
>	no ( European crow )	no crow
>	no ( European sofa )	no sofa
>	no ( European couch )	no couch
>	no ( European snail )	no snail
>	no ( European vertebrate )	no vertebrate
>	no ( European invertebrate )	no invertebrate
>	no ( European bark )	no bark
>	no ( European puppy )	no puppy
>	no ( European feline )	no feline
>	no ( European mobile )	no mobile
>	no ( European immobile )	no immobile
>	no ( European dead )	no dead
>	no ( European live )	no live
>	no ( European European )	no European
>	no ( European French )	no French
>	no ( European Parisian )	no Parisian
>	no ( European human )	no human
>	no ( European animate )	no animate
>	no ( European inanimate )	no inanimate
>	no ( European seat )	no seat
>	no ( European bench )	no bench
>	no ( European woody )	no woody
>	no ( European plant )	no plant
>	no ( European tree )	no tree
>	no ( European oak )	no oak
>	no ( European bush )	no bush
>	no ( European destructible )	no destructible
>	no ( European indestructible )	no indestructible
>	no ( European mammal )	no mammal
