>	no ( mobile hippo )	no hippo
>	no ( mobile hungry )	no hungry
>	no ( mobile non-ape )	no non-ape
>	no ( mobile ape )	no ape
>	no ( mobile animal )	no animal
>	no ( mobile dog )	no dog
>	no ( mobile cat )	no cat
>	no ( mobile unable )	no unable
>	no ( mobile able )	no able
>	no ( mobile Thai )	no Thai
>	no ( mobile Asian )	no Asian
>	no ( mobile bird )	no bird
>	no ( mobile crow )	no crow
>	no ( mobile sofa )	no sofa
>	no ( mobile couch )	no couch
>	no ( mobile snail )	no snail
>	no ( mobile vertebrate )	no vertebrate
>	no ( mobile invertebrate )	no invertebrate
>	no ( mobile bark )	no bark
>	no ( mobile puppy )	no puppy
>	no ( mobile feline )	no feline
>	no ( mobile mobile )	no mobile
>	no ( mobile immobile )	no immobile
>	no ( mobile dead )	no dead
>	no ( mobile live )	no live
>	no ( mobile European )	no European
>	no ( mobile French )	no French
>	no ( mobile Parisian )	no Parisian
>	no ( mobile human )	no human
>	no ( mobile animate )	no animate
>	no ( mobile inanimate )	no inanimate
>	no ( mobile seat )	no seat
>	no ( mobile bench )	no bench
>	no ( mobile woody )	no woody
>	no ( mobile plant )	no plant
>	no ( mobile tree )	no tree
>	no ( mobile oak )	no oak
>	no ( mobile bush )	no bush
>	no ( mobile destructible )	no destructible
>	no ( mobile indestructible )	no indestructible
>	no ( mobile mammal )	no mammal
