>	some ( bark hippo )	all hippo
>	some ( bark hungry )	all hungry
>	some ( bark non-ape )	all non-ape
>	some ( bark ape )	all ape
>	some ( bark animal )	all animal
>	some ( bark dog )	all dog
>	some ( bark cat )	all cat
>	some ( bark unable )	all unable
>	some ( bark able )	all able
>	some ( bark Thai )	all Thai
>	some ( bark Asian )	all Asian
>	some ( bark bird )	all bird
>	some ( bark crow )	all crow
>	some ( bark sofa )	all sofa
>	some ( bark couch )	all couch
>	some ( bark snail )	all snail
>	some ( bark vertebrate )	all vertebrate
>	some ( bark invertebrate )	all invertebrate
>	some ( bark bark )	all bark
>	some ( bark puppy )	all puppy
>	some ( bark feline )	all feline
>	some ( bark mobile )	all mobile
>	some ( bark immobile )	all immobile
>	some ( bark dead )	all dead
>	some ( bark live )	all live
>	some ( bark European )	all European
>	some ( bark French )	all French
>	some ( bark Parisian )	all Parisian
>	some ( bark human )	all human
>	some ( bark animate )	all animate
>	some ( bark inanimate )	all inanimate
>	some ( bark seat )	all seat
>	some ( bark bench )	all bench
>	some ( bark woody )	all woody
>	some ( bark plant )	all plant
>	some ( bark tree )	all tree
>	some ( bark oak )	all oak
>	some ( bark bush )	all bush
>	some ( bark destructible )	all destructible
>	some ( bark indestructible )	all indestructible
>	some ( bark mammal )	all mammal
