<	some ( bark hippo )	some hippo
<	some ( bark hungry )	some hungry
<	some ( bark non-ape )	some non-ape
<	some ( bark ape )	some ape
<	some ( bark animal )	some animal
<	some ( bark dog )	some dog
<	some ( bark cat )	some cat
<	some ( bark unable )	some unable
<	some ( bark able )	some able
<	some ( bark Thai )	some Thai
<	some ( bark Asian )	some Asian
<	some ( bark bird )	some bird
<	some ( bark crow )	some crow
<	some ( bark sofa )	some sofa
<	some ( bark couch )	some couch
<	some ( bark snail )	some snail
<	some ( bark vertebrate )	some vertebrate
<	some ( bark invertebrate )	some invertebrate
<	some ( bark bark )	some bark
<	some ( bark puppy )	some puppy
<	some ( bark feline )	some feline
<	some ( bark mobile )	some mobile
<	some ( bark immobile )	some immobile
<	some ( bark dead )	some dead
<	some ( bark live )	some live
<	some ( bark European )	some European
<	some ( bark French )	some French
<	some ( bark Parisian )	some Parisian
<	some ( bark human )	some human
<	some ( bark animate )	some animate
<	some ( bark inanimate )	some inanimate
<	some ( bark seat )	some seat
<	some ( bark bench )	some bench
<	some ( bark woody )	some woody
<	some ( bark plant )	some plant
<	some ( bark tree )	some tree
<	some ( bark oak )	some oak
<	some ( bark bush )	some bush
<	some ( bark destructible )	some destructible
<	some ( bark indestructible )	some indestructible
<	some ( bark mammal )	some mammal
