>	most ( European hippo )	all hippo
>	most ( European hungry )	all hungry
>	most ( European non-ape )	all non-ape
>	most ( European ape )	all ape
>	most ( European animal )	all animal
>	most ( European dog )	all dog
>	most ( European cat )	all cat
>	most ( European unable )	all unable
>	most ( European able )	all able
>	most ( European Thai )	all Thai
>	most ( European Asian )	all Asian
>	most ( European bird )	all bird
>	most ( European crow )	all crow
>	most ( European sofa )	all sofa
>	most ( European couch )	all couch
>	most ( European snail )	all snail
>	most ( European vertebrate )	all vertebrate
>	most ( European invertebrate )	all invertebrate
>	most ( European bark )	all bark
>	most ( European puppy )	all puppy
>	most ( European feline )	all feline
>	most ( European mobile )	all mobile
>	most ( European immobile )	all immobile
>	most ( European dead )	all dead
>	most ( European live )	all live
>	most ( European European )	all European
>	most ( European French )	all French
>	most ( European Parisian )	all Parisian
>	most ( European human )	all human
>	most ( European animate )	all animate
>	most ( European inanimate )	all inanimate
>	most ( European seat )	all seat
>	most ( European bench )	all bench
>	most ( European woody )	all woody
>	most ( European plant )	all plant
>	most ( European tree )	all tree
>	most ( European oak )	all oak
>	most ( European bush )	all bush
>	most ( European destructible )	all destructible
>	most ( European indestructible )	all indestructible
>	most ( European mammal )	all mammal
