>	most ( bark hippo )	all hippo
>	most ( bark hungry )	all hungry
>	most ( bark non-ape )	all non-ape
>	most ( bark ape )	all ape
>	most ( bark animal )	all animal
>	most ( bark dog )	all dog
>	most ( bark cat )	all cat
>	most ( bark unable )	all unable
>	most ( bark able )	all able
>	most ( bark Thai )	all Thai
>	most ( bark Asian )	all Asian
>	most ( bark bird )	all bird
>	most ( bark crow )	all crow
>	most ( bark sofa )	all sofa
>	most ( bark couch )	all couch
>	most ( bark snail )	all snail
>	most ( bark vertebrate )	all vertebrate
>	most ( bark invertebrate )	all invertebrate
>	most ( bark bark )	all bark
>	most ( bark puppy )	all puppy
>	most ( bark feline )	all feline
>	most ( bark mobile )	all mobile
>	most ( bark immobile )	all immobile
>	most ( bark dead )	all dead
>	most ( bark live )	all live
>	most ( bark European )	all European
>	most ( bark French )	all French
>	most ( bark Parisian )	all Parisian
>	most ( bark human )	all human
>	most ( bark animate )	all animate
>	most ( bark inanimate )	all inanimate
>	most ( bark seat )	all seat
>	most ( bark bench )	all bench
>	most ( bark woody )	all woody
>	most ( bark plant )	all plant
>	most ( bark tree )	all tree
>	most ( bark oak )	all oak
>	most ( bark bush )	all bush
>	most ( bark destructible )	all destructible
>	most ( bark indestructible )	all indestructible
>	most ( bark mammal )	all mammal
