<	three ( mobile hippo )	three hippo
<	three ( mobile hungry )	three hungry
<	three ( mobile non-ape )	three non-ape
<	three ( mobile ape )	three ape
<	three ( mobile animal )	three animal
<	three ( mobile dog )	three dog
<	three ( mobile cat )	three cat
<	three ( mobile unable )	three unable
<	three ( mobile able )	three able
<	three ( mobile Thai )	three Thai
<	three ( mobile Asian )	three Asian
<	three ( mobile bird )	three bird
<	three ( mobile crow )	three crow
<	three ( mobile sofa )	three sofa
<	three ( mobile couch )	three couch
<	three ( mobile snail )	three snail
<	three ( mobile vertebrate )	three vertebrate
<	three ( mobile invertebrate )	three invertebrate
<	three ( mobile bark )	three bark
<	three ( mobile puppy )	three puppy
<	three ( mobile feline )	three feline
<	three ( mobile mobile )	three mobile
<	three ( mobile immobile )	three immobile
<	three ( mobile dead )	three dead
<	three ( mobile live )	three live
<	three ( mobile European )	three European
<	three ( mobile French )	three French
<	three ( mobile Parisian )	three Parisian
<	three ( mobile human )	three human
<	three ( mobile animate )	three animate
<	three ( mobile inanimate )	three inanimate
<	three ( mobile seat )	three seat
<	three ( mobile bench )	three bench
<	three ( mobile woody )	three woody
<	three ( mobile plant )	three plant
<	three ( mobile tree )	three tree
<	three ( mobile oak )	three oak
<	three ( mobile bush )	three bush
<	three ( mobile destructible )	three destructible
<	three ( mobile indestructible )	three indestructible
<	three ( mobile mammal )	three mammal
