<	two ( bark hippo )	two hippo
<	two ( bark hungry )	two hungry
<	two ( bark non-ape )	two non-ape
<	two ( bark ape )	two ape
<	two ( bark animal )	two animal
<	two ( bark dog )	two dog
<	two ( bark cat )	two cat
<	two ( bark unable )	two unable
<	two ( bark able )	two able
<	two ( bark Thai )	two Thai
<	two ( bark Asian )	two Asian
<	two ( bark bird )	two bird
<	two ( bark crow )	two crow
<	two ( bark sofa )	two sofa
<	two ( bark couch )	two couch
<	two ( bark snail )	two snail
<	two ( bark vertebrate )	two vertebrate
<	two ( bark invertebrate )	two invertebrate
<	two ( bark bark )	two bark
<	two ( bark puppy )	two puppy
<	two ( bark feline )	two feline
<	two ( bark mobile )	two mobile
<	two ( bark immobile )	two immobile
<	two ( bark dead )	two dead
<	two ( bark live )	two live
<	two ( bark European )	two European
<	two ( bark French )	two French
<	two ( bark Parisian )	two Parisian
<	two ( bark human )	two human
<	two ( bark animate )	two animate
<	two ( bark inanimate )	two inanimate
<	two ( bark seat )	two seat
<	two ( bark bench )	two bench
<	two ( bark woody )	two woody
<	two ( bark plant )	two plant
<	two ( bark tree )	two tree
<	two ( bark oak )	two oak
<	two ( bark bush )	two bush
<	two ( bark destructible )	two destructible
<	two ( bark indestructible )	two indestructible
<	two ( bark mammal )	two mammal
