>	no hippo	no non-ape
>	no dog	no non-ape
>	no cat	no non-ape
>	no bird	no non-ape
>	no crow	no non-ape
>	no sofa	no non-ape
>	no couch	no non-ape
>	no snail	no non-ape
>	no invertebrate	no non-ape
>	no puppy	no non-ape
>	no feline	no non-ape
>	no immobile	no non-ape
>	no seat	no non-ape
>	no bench	no non-ape
>	no woody	no non-ape
>	no plant	no non-ape
>	no tree	no non-ape
>	no oak	no non-ape
>	no bush	no non-ape
>	no indestructible	no non-ape
>	no human	no ape
>	no hippo	no animal
>	no hungry	no animal
>	no ape	no animal
>	no dog	no animal
>	no cat	no animal
>	no bird	no animal
>	no crow	no animal
>	no snail	no animal
>	no vertebrate	no animal
>	no invertebrate	no animal
>	no bark	no animal
>	no puppy	no animal
>	no feline	no animal
>	no human	no animal
>	no mammal	no animal
>	no puppy	no dog
>	no Thai	no Asian
>	no crow	no bird
>	no hippo	no vertebrate
>	no ape	no vertebrate
>	no dog	no vertebrate
>	no cat	no vertebrate
>	no bird	no vertebrate
>	no crow	no vertebrate
>	no bark	no vertebrate
>	no puppy	no vertebrate
>	no feline	no vertebrate
>	no human	no vertebrate
>	no mammal	no vertebrate
>	no snail	no invertebrate
>	no cat	no feline
>	no hippo	no mobile
>	no ape	no mobile
>	no animal	no mobile
>	no dog	no mobile
>	no cat	no mobile
>	no bird	no mobile
>	no crow	no mobile
>	no snail	no mobile
>	no vertebrate	no mobile
>	no bark	no mobile
>	no puppy	no mobile
>	no feline	no mobile
>	no human	no mobile
>	no animate	no mobile
>	no mammal	no mobile
>	no hungry	no live
>	no bark	no live
>	no French	no European
>	no Parisian	no European
>	no Parisian	no French
>	no hungry	no animate
>	no bark	no animate
>	no sofa	no inanimate
>	no couch	no inanimate
>	no immobile	no inanimate
>	no dead	no inanimate
>	no seat	no inanimate
>	no bench	no inanimate
>	no woody	no inanimate
>	no plant	no inanimate
>	no tree	no inanimate
>	no oak	no inanimate
>	no bush	no inanimate
>	no sofa	no seat
>	no couch	no seat
>	no bench	no seat
>	no tree	no plant
>	no oak	no plant
>	no bush	no plant
>	no oak	no tree
>	no hippo	no destructible
>	no ape	no destructible
>	no animal	no destructible
>	no dog	no destructible
>	no cat	no destructible
>	no bird	no destructible
>	no crow	no destructible
>	no sofa	no destructible
>	no couch	no destructible
>	no snail	no destructible
>	no vertebrate	no destructible
>	no invertebrate	no destructible
>	no bark	no destructible
>	no puppy	no destructible
>	no feline	no destructible
>	no dead	no destructible
>	no live	no destructible
>	no human	no destructible
>	no animate	no destructible
>	no seat	no destructible
>	no bench	no destructible
>	no woody	no destructible
>	no plant	no destructible
>	no tree	no destructible
>	no oak	no destructible
>	no bush	no destructible
>	no mammal	no destructible
>	no hippo	no mammal
>	no ape	no mammal
>	no dog	no mammal
>	no cat	no mammal
>	no bark	no mammal
>	no puppy	no mammal
>	no feline	no mammal
>	no human	no mammal
