% BQ all-no
|	( all hippo ) able	( no hippo ) able	
|	( all hungry ) able	( no hungry ) able	
|	( all non-ape ) able	( no non-ape ) able	
|	( all ape ) able	( no ape ) able	
|	( all animal ) able	( no animal ) able	
|	( all dog ) able	( no dog ) able	
|	( all cat ) able	( no cat ) able	
% |	( all unable ) able	( no unable ) able	
% |	( all able ) able	( no able ) able	
|	( all Thai ) able	( no Thai ) able	
|	( all Asian ) able	( no Asian ) able	
|	( all bird ) able	( no bird ) able	
|	( all crow ) able	( no crow ) able	
|	( all sofa ) able	( no sofa ) able	
|	( all couch ) able	( no couch ) able	
|	( all snail ) able	( no snail ) able	
|	( all vertebrate ) able	( no vertebrate ) able	
|	( all invertebrate ) able	( no invertebrate ) able	
|	( all able ) able	( no able ) able	
|	( all puppy ) able	( no puppy ) able	
|	( all feline ) able	( no feline ) able	
|	( all mobile ) able	( no mobile ) able	
|	( all immobile ) able	( no immobile ) able	
|	( all dead ) able	( no dead ) able	
|	( all live ) able	( no live ) able	
|	( all European ) able	( no European ) able	
|	( all French ) able	( no French ) able	
|	( all Parisian ) able	( no Parisian ) able	
|	( all human ) able	( no human ) able	
|	( all animate ) able	( no animate ) able	
|	( all inanimate ) able	( no inanimate ) able	
|	( all seat ) able	( no seat ) able	
|	( all bench ) able	( no bench ) able	
|	( all woody ) able	( no woody ) able	
|	( all plant ) able	( no plant ) able	
|	( all tree ) able	( no tree ) able	
|	( all oak ) able	( no oak ) able	
|	( all bush ) able	( no bush ) able	
|	( all destructible ) able	( no destructible ) able	
|	( all indestructible ) able	( no indestructible ) able	
|	( all mammal ) able	( no mammal ) able	
