% MQ all-most
<	all hippo	most hippo
<	all hungry	most hungry
<	all non-ape	most non-ape
<	all ape	most ape
<	all animal	most animal
<	all dog	most dog
<	all cat	most cat
<	all unable	most unable
<	all able	most able
<	all Thai	most Thai
<	all Asian	most Asian
<	all bird	most bird
<	all crow	most crow
<	all sofa	most sofa
<	all couch	most couch
<	all snail	most snail
<	all vertebrate	most vertebrate
<	all invertebrate	most invertebrate
<	all bark	most bark
<	all puppy	most puppy
<	all feline	most feline
<	all mobile	most mobile
<	all immobile	most immobile
<	all dead	most dead
<	all live	most live
<	all European	most European
<	all French	most French
<	all Parisian	most Parisian
<	all human	most human
<	all animate	most animate
<	all inanimate	most inanimate
<	all seat	most seat
<	all bench	most bench
<	all woody	most woody
<	all plant	most plant
<	all tree	most tree
<	all oak	most oak
<	all bush	most bush
<	all destructible	most destructible
<	all indestructible	most indestructible
<	all mammal	most mammal
