% MT animal
<	some hippo	some animal
<	some hungry	some animal
<	some non-ape	some animal
<	some ape	some animal
<	some dog	some animal
<	some cat	some animal
#	some unable	some animal
#	some able	some animal
#	some Thai	some animal
#	some Asian	some animal
<	some bird	some animal
<	some crow	some animal
#	some sofa	some animal
#	some couch	some animal
<	some snail	some animal
=	some animal	some animal
<	some vertebrate	some animal
<	some invertebrate	some animal
<	some bark	some animal
<	some puppy	some animal
<	some feline	some animal
#	some mobile	some animal
#	some immobile	some animal
#	some dead	some animal
#	some live	some animal
#	some European	some animal
#	some French	some animal
#	some Parisian	some animal
<	some human	some animal
#	some animate	some animal
#	some inanimate	some animal
#	some seat	some animal
#	some bench	some animal
#	some woody	some animal
#	some plant	some animal
#	some tree	some animal
#	some oak	some animal
#	some bush	some animal
>	some destructible	some animal
#	some indestructible	some animal
<	some mammal	some animal
