% NBQ three-two
<	three hippo	two hippo
<	three hungry	two hungry
<	three non-ape	two non-ape
<	three ape	two ape
<	three animal	two animal
<	three dog	two dog
<	three cat	two cat
<	three unable	two unable
<	three able	two able
<	three Thai	two Thai
<	three Asian	two Asian
<	three bird	two bird
<	three crow	two crow
<	three sofa	two sofa
<	three couch	two couch
<	three snail	two snail
<	three vertebrate	two vertebrate
<	three invertebrate	two invertebrate
<	three bark	two bark
<	three puppy	two puppy
<	three feline	two feline
<	three mobile	two mobile
<	three immobile	two immobile
<	three dead	two dead
<	three live	two live
<	three European	two European
<	three French	two French
<	three Parisian	two Parisian
<	three human	two human
<	three animate	two animate
<	three inanimate	two inanimate
<	three seat	two seat
<	three bench	two bench
<	three woody	two woody
<	three plant	two plant
<	three tree	two tree
<	three oak	two oak
<	three bush	two bush
<	three destructible	two destructible
<	three indestructible	two indestructible
<	three mammal	two mammal
