=	couch	sofa
=	couch	couch
|	couch	crow
|	couch	bird
#	couch	Asian
#	couch	Thai
#	couch	able
#	couch	unable
|	couch	cat
|	couch	dog
|	couch	animal
<	couch	non-ape
|	couch	hungry
|	couch	hippo
|	couch	ape
=	sofa	sofa
=	sofa	couch
|	sofa	crow
|	sofa	bird
#	sofa	Asian
#	sofa	Thai
#	sofa	able
#	sofa	unable
|	sofa	cat
|	sofa	dog
|	sofa	animal
<	sofa	non-ape
|	sofa	hungry
|	sofa	hippo
|	sofa	ape
|	crow	sofa
|	crow	couch
=	crow	crow
<	crow	bird
#	crow	Asian
#	crow	Thai
#	crow	able
#	crow	unable
|	crow	cat
|	crow	dog
<	crow	animal
<	crow	non-ape
#	crow	hungry
|	crow	hippo
|	crow	ape
|	bird	sofa
|	bird	couch
>	bird	crow
=	bird	bird
#	bird	Asian
#	bird	Thai
#	bird	able
#	bird	unable
|	bird	cat
|	bird	dog
<	bird	animal
<	bird	non-ape
#	bird	hungry
|	bird	hippo
|	bird	ape
#	Asian	sofa
#	Asian	couch
#	Asian	crow
#	Asian	bird
=	Asian	Asian
>	Asian	Thai
#	Asian	able
#	Asian	unable
#	Asian	cat
#	Asian	dog
#	Asian	animal
#	Asian	non-ape
#	Asian	hungry
#	Asian	hippo
#	Asian	ape
#	Thai	sofa
#	Thai	couch
#	Thai	crow
#	Thai	bird
<	Thai	Asian
=	Thai	Thai
#	Thai	able
#	Thai	unable
#	Thai	cat
#	Thai	dog
#	Thai	animal
#	Thai	non-ape
#	Thai	hungry
#	Thai	hippo
#	Thai	ape
#	able	sofa
#	able	couch
#	able	crow
#	able	bird
#	able	Asian
#	able	Thai
=	able	able
^	able	unable
#	able	cat
#	able	dog
#	able	animal
#	able	non-ape
#	able	hungry
#	able	hippo
#	able	ape
#	unable	sofa
#	unable	couch
#	unable	crow
#	unable	bird
#	unable	Asian
#	unable	Thai
^	unable	able
=	unable	unable
#	unable	cat
#	unable	dog
#	unable	animal
#	unable	non-ape
#	unable	hungry
#	unable	hippo
#	unable	ape
|	cat	sofa
|	cat	couch
|	cat	crow
|	cat	bird
#	cat	Asian
#	cat	Thai
#	cat	able
#	cat	unable
=	cat	cat
|	cat	dog
<	cat	animal
<	cat	non-ape
#	cat	hungry
|	cat	hippo
|	cat	ape
|	dog	sofa
|	dog	couch
|	dog	crow
|	dog	bird
#	dog	Asian
#	dog	Thai
#	dog	able
#	dog	unable
|	dog	cat
=	dog	dog
<	dog	animal
<	dog	non-ape
#	dog	hungry
|	dog	hippo
|	dog	ape
|	animal	sofa
|	animal	couch
>	animal	crow
>	animal	bird
#	animal	Asian
#	animal	Thai
#	animal	able
#	animal	unable
>	animal	cat
>	animal	dog
=	animal	animal
v	animal	non-ape
>	animal	hungry
>	animal	hippo
>	animal	ape
>	non-ape	sofa
>	non-ape	couch
>	non-ape	crow
>	non-ape	bird
#	non-ape	Asian
#	non-ape	Thai
#	non-ape	able
#	non-ape	unable
>	non-ape	cat
>	non-ape	dog
v	non-ape	animal
=	non-ape	non-ape
#	non-ape	hungry
>	non-ape	hippo
^	non-ape	ape
|	hungry	sofa
|	hungry	couch
#	hungry	crow
#	hungry	bird
#	hungry	Asian
#	hungry	Thai
#	hungry	able
#	hungry	unable
#	hungry	cat
#	hungry	dog
<	hungry	animal
#	hungry	non-ape
=	hungry	hungry
#	hungry	hippo
#	hungry	ape
|	hippo	sofa
|	hippo	couch
|	hippo	crow
|	hippo	bird
#	hippo	Asian
#	hippo	Thai
#	hippo	able
#	hippo	unable
|	hippo	cat
|	hippo	dog
<	hippo	animal
<	hippo	non-ape
#	hippo	hungry
=	hippo	hippo
|	hippo	ape
|	ape	sofa
|	ape	couch
|	ape	crow
|	ape	bird
#	ape	Asian
#	ape	Thai
#	ape	able
#	ape	unable
|	ape	cat
|	ape	dog
<	ape	animal
^	ape	non-ape
#	ape	hungry
|	ape	hippo
=	ape	ape
