=	0	0	=
v	0	2	v
v	0	6	v
^	0	7	#
>	0	9	>
=	0	11	=
v	0	12	v
v	0	13	v
=	1	0	#
=	1	1	#
v	1	2	v
v	1	3	v
v	1	5	v
v	1	6	v
>	1	8	>
v	1	12	v
v	2	1	v
>	2	3	>
v	2	6	v
v	2	8	v
>	2	9	>
#	2	10	>
#	2	13	>
>	3	4	#
<	3	5	<
#	3	6	#
>	3	7	#
^	3	8	#
v	3	11	v
#	3	13	#
^	4	1	#
<	4	3	<
<	4	6	<
|	4	9	|
#	4	10	|
#	4	11	^
v	5	1	v
>	5	3	#
>	5	4	>
>	5	9	#
v	5	11	v
#	5	13	>
v	6	1	v
v	6	5	#
=	6	6	#
>	6	7	#
#	6	8	#
v	6	11	v
#	6	13	#
^	7	0	^
^	7	1	#
<	7	2	<
<	7	6	<
|	7	9	|
^	7	11	^
<	8	0	<
<	8	1	#
v	8	2	#
^	8	3	#
v	8	5	v
>	8	9	#
<	8	11	<
#	8	13	#
<	9	1	<
<	9	2	#
|	9	3	#
|	9	4	|
<	9	5	<
|	9	6	|
|	9	7	|
#	9	10	<
<	9	11	<
#	10	0	<
#	10	4	|
#	10	6	^
#	10	8	#
#	10	9	>
#	10	10	=
<	10	11	<
#	11	3	v
#	11	6	v
#	11	13	v
v	12	0	v
#	12	2	v
#	12	3	v
>	12	7	>
v	12	11	v
#	12	12	=
v	13	1	v
#	13	2	<
#	13	3	#
#	13	4	>
#	13	5	<
#	13	7	>
#	13	8	#
#	13	10	#
#	13	12	<
#	13	13	=
