v	0	1	v
=	0	2	#
v	0	4	v
v	0	5	v
=	0	7	#
>	0	9	>
>	0	10	>
v	1	2	v
<	1	3	<
|	1	6	|
#	1	11	^
v	1	12	v
v	2	1	#
v	2	5	#
>	2	6	>
>	2	9	#
>	3	1	>
v	3	2	v
>	3	5	>
^	3	6	#
>	3	9	>
v	3	10	v
v	3	11	v
>	3	13	>
v	4	0	v
=	4	3	#
=	4	4	#
>	4	5	>
v	4	7	v
v	4	10	v
v	4	11	v
v	4	12	v
v	5	0	v
v	5	2	v
<	5	4	<
=	5	5	#
v	5	7	v
#	5	8	#
#	5	10	^
v	5	12	v
#	5	13	|
<	6	0	<
|	6	1	|
<	6	2	<
^	6	3	^
^	6	4	#
|	6	5	|
|	6	9	|
<	6	10	<
<	6	11	<
|	6	13	|
=	7	0	#
v	7	3	v
v	7	4	v
v	7	5	v
>	7	6	>
=	7	7	=
>	7	9	>
<	8	0	#
#	8	1	#
<	8	4	<
|	8	6	#
=	8	8	#
#	8	13	>
<	9	1	#
|	9	6	|
<	9	10	<
<	9	12	<
#	9	13	=
<	10	0	<
#	10	1	#
<	10	2	<
v	10	3	v
v	10	4	v
>	10	6	>
<	10	7	<
#	10	9	>
#	10	12	<
<	11	0	<
<	11	2	<
v	11	3	v
v	11	4	v
>	11	6	>
<	11	7	<
#	11	8	#
#	11	12	<
#	12	2	=
v	12	4	v
v	12	5	v
#	12	7	=
>	12	9	>
#	12	11	>
<	13	2	<
<	13	4	<
|	13	6	|
<	13	7	<
#	13	9	=
<	13	10	<
