#	0	2	#
#	0	3	#
#	0	7	#
#	0	9	#
<	0	10	<
<	0	11	<
#	0	12	#
<	0	19	<
|	0	23	|
#	0	26	#
#	0	28	#
#	0	29	#
v	0	30	v
#	0	31	#
#	0	36	#
#	0	38	#
|	0	39	|
#	0	41	#
<	0	46	<
#	0	47	#
|	0	49	|
v	0	50	v
#	0	54	#
<	0	56	<
<	0	59	<
|	0	61	|
#	0	63	#
#	0	64	#
<	0	66	<
>	0	72	>
|	0	74	|
#	0	75	#
<	0	76	<
#	0	78	#
#	0	79	#
=	1	1	=
#	1	3	#
#	1	4	?
>	1	6	>
#	1	7	#
#	1	8	#
#	1	9	#
v	1	10	v
#	1	12	#
#	1	13	#
v	1	15	v
#	1	21	#
#	1	22	#
>	1	23	>
<	1	24	<
#	1	26	?
#	1	28	?
v	1	33	v
v	1	36	v
>	1	37	>
>	1	39	>
v	1	43	v
v	1	45	?
>	1	48	>
>	1	49	>
>	1	57	>
>	1	62	>
#	1	63	#
v	1	66	v
>	1	67	>
#	1	70	#
#	1	71	?
#	1	72	#
>	1	73	>
#	1	75	#
v	1	76	v
>	1	78	>
#	2	0	#
#	2	1	?
v	2	3	v
#	2	4	?
v	2	5	v
#	2	6	?
v	2	8	v
#	2	9	#
v	2	10	v
#	2	12	?
#	2	13	#
v	2	19	v
#	2	22	#
#	2	23	#
#	2	25	#
#	2	26	?
#	2	27	?
<	2	30	<
#	2	32	#
#	2	33	#
#	2	37	?
#	2	41	#
#	2	44	#
#	2	46	#
#	2	47	#
#	2	50	#
#	2	52	#
#	2	53	#
#	2	55	#
#	2	56	#
>	2	57	>
>	2	60	>
#	2	61	?
#	2	63	#
#	2	64	#
#	2	65	?
v	2	66	v
#	2	68	#
#	2	70	#
#	2	73	#
#	2	74	?
#	2	75	?
#	2	76	#
|	2	78	|
#	2	79	#
#	3	0	#
#	3	1	#
v	3	2	v
#	3	4	#
<	3	5	<
>	3	6	>
#	3	7	#
#	3	9	#
#	3	10	#
#	3	12	#
#	3	13	#
#	3	14	#
#	3	16	#
#	3	17	#
#	3	19	#
|	3	20	|
#	3	22	#
#	3	23	#
<	3	24	<
#	3	25	#
#	3	27	#
#	3	29	#
v	3	30	v
#	3	32	#
#	3	33	#
v	3	34	v
#	3	37	#
#	3	40	#
#	3	43	#
#	3	44	#
#	3	45	#
#	3	46	#
>	3	47	>
#	3	53	#
>	3	55	>
#	3	56	#
#	3	57	#
#	3	58	#
#	3	62	#
#	3	64	#
|	3	67	|
#	3	68	#
#	3	71	#
#	3	74	#
#	3	75	#
|	3	77	|
>	3	78	>
#	3	79	#
<	4	0	<
=	4	4	=
#	4	7	#
#	4	8	#
|	4	12	?
#	4	14	#
<	4	15	<
#	4	16	?
<	4	19	<
|	4	23	|
v	4	24	v
#	4	27	#
#	4	29	#
#	4	30	#
|	4	32	|
<	4	34	<
<	4	35	<
#	4	36	#
#	4	37	#
#	4	40	#
<	4	44	<
#	4	45	?
<	4	46	<
#	4	47	#
#	4	48	#
#	4	50	?
<	4	53	<
|	4	54	|
|	4	58	|
<	4	59	<
#	4	60	#
#	4	62	#
<	4	66	<
|	4	67	|
<	4	68	<
#	4	72	#
#	4	73	?
|	4	74	|
<	4	76	<
|	4	77	|
v	5	0	v
>	5	1	>
>	5	3	>
>	5	6	>
v	5	7	v
>	5	8	>
v	5	9	v
>	5	12	>
v	5	16	v
>	5	18	>
v	5	19	v
>	5	21	>
v	5	22	v
>	5	23	>
=	5	24	?
v	5	26	v
v	5	30	v
>	5	32	>
v	5	36	v
>	5	37	>
>	5	38	>
v	5	40	v
v	5	43	v
v	5	44	v
v	5	46	v
>	5	48	>
v	5	51	v
v	5	53	v
>	5	54	>
>	5	55	>
v	5	56	v
>	5	57	>
>	5	58	>
>	5	67	>
>	5	69	>
>	5	70	>
>	5	73	>
>	5	75	>
v	5	76	v
#	6	0	#
<	6	1	<
<	6	3	<
#	6	4	?
#	6	7	#
<	6	8	<
<	6	9	<
#	6	12	?
#	6	14	#
#	6	18	#
#	6	19	#
#	6	21	#
<	6	24	<
<	6	25	<
#	6	26	?
#	6	27	?
#	6	28	#
#	6	32	#
#	6	33	#
#	6	35	#
#	6	39	#
#	6	43	#
#	6	49	#
<	6	50	<
<	6	52	<
#	6	53	#
>	6	55	>
#	6	57	#
#	6	58	#
>	6	61	?
#	6	62	#
#	6	63	#
#	6	64	#
|	6	67	|
<	6	68	<
#	6	72	#
#	6	75	?
#	6	76	#
#	7	2	#
#	7	3	#
=	7	7	=
#	7	8	#
<	7	10	<
#	7	11	#
#	7	14	#
#	7	16	#
#	7	21	#
#	7	23	#
v	7	24	v
#	7	25	#
#	7	28	#
<	7	30	<
#	7	34	#
#	7	41	#
#	7	42	#
#	7	43	#
#	7	45	#
#	7	46	#
|	7	48	|
#	7	50	#
#	7	54	#
|	7	55	|
#	7	56	#
#	7	57	#
#	7	58	#
#	7	59	#
#	7	60	#
#	7	63	#
#	7	64	#
>	7	65	>
#	7	67	#
#	7	69	#
^	7	70	^
|	7	72	|
>	7	74	>
