=	0	0	=
^	0	1	^
|	0	3	|
=	0	4	=
=	0	5	=
|	0	6	|
|	0	7	|
^	0	8	^
<	0	9	<
|	0	10	|
|	0	11	|
|	0	12	|
<	0	13	<
#	0	14	#
<	0	16	<
<	0	17	<
|	0	18	|
<	0	19	<
|	0	20	|
|	0	21	|
>	0	24	>
|	0	26	|
<	0	29	<
#	0	30	#
<	0	32	<
<	0	33	<
#	0	34	#
<	0	38	<
#	0	39	#
#	0	43	#
|	0	47	|
|	0	48	|
|	0	49	|
<	0	53	<
#	0	54	#
|	0	56	|
#	0	57	#
<	0	58	<
|	0	59	|
#	0	61	#
|	0	63	|
|	0	64	|
<	0	66	<
#	0	70	#
|	0	72	|
>	1	2	>
>	1	6	>
=	1	8	=
v	1	9	v
>	1	11	>
v	1	13	v
#	1	15	#
v	1	16	v
v	1	17	v
>	1	21	>
#	1	22	#
#	1	23	#
|	1	24	|
v	1	29	v
v	1	32	v
>	1	36	>
#	1	39	#
>	1	40	>
#	1	42	#
#	1	43	#
>	1	44	>
>	1	45	>
=	1	50	=
v	1	52	v
#	1	55	#
#	1	57	#
v	1	60	v
#	1	61	#
>	1	64	>
#	1	65	#
>	1	67	>
#	1	68	#
#	1	70	#
>	1	72	>
#	1	73	#
|	1	74	|
<	2	1	<
|	2	4	|
>	2	6	>
v	2	9	v
>	2	10	?
#	2	11	#
v	2	13	v
#	2	20	#
#	2	22	#
|	2	24	|
>	2	27	>
>	2	28	>
#	2	30	#
v	2	32	v
#	2	33	#
#	2	34	?
#	2	37	#
>	2	40	>
#	2	41	#
#	2	42	?
#	2	43	#
#	2	45	?
#	2	46	?
#	2	47	?
#	2	48	#
v	2	52	v
#	2	54	#
#	2	60	#
#	2	61	#
#	2	63	?
#	2	64	?
>	2	67	>
#	2	68	?
|	2	69	|
#	2	70	#
#	2	71	#
|	3	0	|
=	3	3	=
|	3	4	|
<	3	8	<
#	3	10	#
#	3	11	#
#	3	13	#
#	3	14	#
#	3	19	#
#	3	21	#
#	3	22	#
>	3	26	?
#	3	28	#
#	3	29	#
#	3	30	#
#	3	31	?
#	3	32	#
#	3	33	#
<	3	35	<
#	3	37	#
#	3	39	#
#	3	40	#
#	3	41	#
>	3	47	>
#	3	49	#
<	3	50	<
#	3	52	#
#	3	53	#
#	3	57	#
v	3	58	v
#	3	59	#
#	3	60	#
#	3	62	#
>	3	63	>
#	3	66	#
|	3	69	|
#	3	70	#
>	3	71	>
#	3	73	#
|	4	3	|
^	4	8	^
|	4	10	|
|	4	18	|
#	4	22	#
>	4	24	>
|	4	26	|
|	4	27	|
<	4	29	<
#	4	31	#
<	4	32	<
|	4	36	|
#	4	39	#
#	4	43	#
|	4	45	|
|	4	47	|
|	4	48	|
|	4	51	|
<	4	52	<
#	4	55	#
<	4	58	<
|	4	59	|
<	4	60	<
#	4	61	#
#	4	62	#
|	4	64	|
#	4	65	#
|	4	67	|
#	4	68	#
>	4	69	>
#	4	70	#
|	4	72	|
=	5	0	=
^	5	1	^
|	5	2	|
|	5	3	|
=	5	5	=
|	5	6	|
|	5	7	|
^	5	8	^
<	5	9	<
|	5	10	|
|	5	12	|
<	5	16	<
<	5	17	<
|	5	18	|
#	5	22	#
#	5	23	#
|	5	26	|
|	5	27	|
<	5	29	<
#	5	30	#
#	5	31	#
<	5	32	<
<	5	33	<
^	5	35	^
|	5	36	|
#	5	39	#
|	5	40	|
|	5	41	|
|	5	44	|
|	5	45	|
|	5	47	|
|	5	56	|
#	5	57	#
|	5	59	|
<	5	60	<
#	5	61	#
#	5	62	#
|	5	63	|
#	5	70	#
|	5	71	|
|	5	72	|
#	5	73	#
#	6	3	#
=	6	6	=
<	6	8	<
#	6	10	#
#	6	11	#
#	6	12	#
|	6	14	|
|	6	15	|
#	6	17	#
#	6	19	#
#	6	21	#
#	6	25	#
#	6	26	#
=	6	28	=
#	6	31	#
#	6	33	#
#	6	34	#
#	6	39	#
>	6	40	>
#	6	42	#
<	6	43	<
=	6	44	=
#	6	45	#
<	6	50	<
#	6	51	#
<	6	54	<
#	6	58	#
#	6	61	#
#	6	63	#
#	6	64	#
^	6	66	^
#	6	68	#
|	6	69	|
=	6	72	=
#	6	73	#
|	7	0	|
<	7	1	<
<	7	2	<
#	7	3	#
|	7	5	|
<	7	6	<
<	7	8	<
|	7	9	|
#	7	10	#
#	7	12	#
