=	0	0	#
v	0	2	v
|	0	3	#
>	0	4	>
=	0	5	#
>	0	6	>
#	0	7	#
#	0	8	#
|	0	9	#
#	0	11	#
#	0	12	#
>	1	3	#
>	1	4	>
v	1	5	#
>	1	8	#
>	1	9	>
v	1	10	v
#	1	12	v
v	2	0	v
v	2	1	v
=	2	2	#
^	2	4	#
v	2	5	v
>	2	7	>
<	3	1	<
<	3	2	#
<	3	7	#
|	3	8	#
#	3	12	|
<	4	0	<
=	4	4	=
=	4	6	#
|	4	7	|
<	4	8	<
|	4	9	|
^	4	10	^
|	4	11	|
v	5	1	#
v	5	2	v
=	5	5	#
>	5	6	>
#	5	7	#
v	5	10	v
v	5	13	v
<	6	0	<
|	6	3	|
=	6	4	#
<	6	5	<
=	6	6	=
|	6	7	|
^	6	10	^
|	6	11	|
v	7	1	#
>	7	3	#
|	7	4	#
#	7	5	#
=	7	7	#
<	7	10	<
#	7	12	#
<	7	13	<
#	8	0	#
#	8	5	#
=	8	8	#
>	8	9	#
#	8	10	v
<	9	2	<
|	9	3	|
|	9	5	#
|	9	6	|
|	9	7	#
=	9	9	#
<	9	10	<
#	9	11	<
<	9	12	<
<	9	13	<
#	10	3	>
v	10	8	v
=	10	10	=
#	10	13	=
#	11	0	#
v	11	1	v
|	11	4	|
#	11	7	#
#	11	8	#
#	11	12	=
#	12	0	#
#	12	1	v
|	12	4	|
|	12	6	|
#	12	9	>
<	12	10	<
v	13	0	v
#	13	2	=
#	13	6	^
v	13	8	v
>	13	9	>
=	13	10	=
#	13	12	>
