=	0	0	#
<	0	2	<
#	0	9	#
#	0	11	^
<	1	2	#
#	1	3	#
<	1	4	#
#	1	5	#
v	1	6	#
<	1	13	<
>	2	0	#
v	2	8	#
>	2	9	#
#	2	10	v
>	2	12	>
#	3	0	#
v	3	6	#
#	3	8	#
#	3	10	#
#	3	11	#
>	4	1	#
>	4	5	>
v	4	6	v
v	4	11	v
>	4	12	>
#	4	13	=
=	5	0	#
#	5	1	#
<	5	6	<
|	5	7	|
^	5	8	#
#	5	9	#
^	5	11	^
>	5	12	>
<	5	13	<
>	6	0	#
v	6	1	#
v	6	3	#
v	6	4	v
v	6	8	#
v	6	9	#
v	6	11	v
v	6	13	v
|	7	0	#
|	7	3	#
^	7	4	#
<	7	6	<
=	7	7	=
|	7	9	#
^	7	13	^
#	8	1	#
v	8	2	v
#	8	3	#
v	8	4	v
^	8	5	^
v	8	6	v
>	8	7	>
=	8	8	=
#	8	10	#
=	8	11	=
|	8	12	|
v	8	13	v
#	9	0	#
<	9	4	<
#	9	5	#
|	9	7	|
#	9	8	#
=	9	9	#
<	9	13	<
#	10	2	v
#	10	3	#
v	10	4	v
#	10	5	#
#	10	6	<
#	10	7	>
#	10	8	#
#	10	12	|
#	11	2	v
v	11	4	v
#	11	5	^
v	11	6	v
>	11	7	>
#	11	10	#
=	11	11	=
|	11	12	|
#	12	0	<
<	12	2	<
<	12	4	<
#	12	6	<
#	12	10	|
#	12	12	=
<	12	13	<
>	13	5	>
v	13	6	v
#	13	7	^
v	13	11	v
>	13	12	>
=	13	13	=
