=	0	0	#
>	0	1	#
>	0	7	#
v	0	9	v
v	0	12	v
<	1	0	#
<	1	6	<
#	1	7	#
|	1	10	|
=	2	0	#
>	2	1	>
v	2	3	v
v	2	6	#
>	2	7	>
v	2	8	#
v	3	1	v
v	3	2	v
v	3	4	v
v	3	6	v
v	3	7	#
>	3	8	#
v	3	9	v
>	3	10	>
v	3	12	v
>	4	1	>
v	4	2	#
v	4	3	v
=	4	4	#
>	4	5	#
v	4	8	#
v	4	12	v
v	5	3	#
<	5	4	<
<	5	6	<
#	5	7	#
#	5	8	#
|	5	10	|
#	5	12	<
#	5	13	#
v	6	0	v
>	6	1	>
v	6	2	v
=	6	4	#
>	6	5	>
v	6	8	v
v	6	9	v
#	6	10	^
v	6	11	v
v	6	12	v
<	7	2	#
v	7	3	#
#	7	5	#
=	7	7	#
#	7	8	#
<	7	9	#
#	7	10	>
v	8	0	v
^	8	1	#
v	8	4	v
#	8	5	#
v	8	6	v
=	8	8	#
#	8	12	<
v	9	0	v
v	9	1	v
v	9	4	v
>	9	5	#
>	9	8	#
=	9	9	=
>	9	10	>
#	9	12	=
#	9	13	>
<	10	3	<
#	10	6	^
#	10	7	<
=	10	10	=
<	10	11	<
#	10	13	<
#	11	3	<
v	11	6	v
#	11	7	#
#	11	9	<
>	11	10	>
#	11	11	=
#	12	2	v
v	12	4	v
v	12	6	v
#	12	7	>
#	12	9	=
#	12	11	>
#	13	1	#
#	13	2	<
#	13	5	#
v	13	6	v
#	13	8	#
#	13	9	<
>	13	10	>
#	13	11	#
