=	0	0	=
^	0	1	^
v	0	2	v
=	0	3	=
#	0	4	#
#	0	5	#
#	0	6	#
#	0	7	#
>	0	8	>
<	0	9	<
|	0	10	|
<	0	11	<
<	0	12	<
|	0	13	|
^	1	0	^
=	1	1	=
<	1	2	<
^	1	3	^
#	1	4	#
#	1	5	#
#	1	6	#
#	1	7	#
|	1	8	|
v	1	9	v
>	1	10	>
v	1	11	v
v	1	12	v
>	1	13	>
v	2	0	v
>	2	1	>
=	2	2	#
v	2	3	v
v	2	4	v
>	2	5	>
v	2	6	v
>	2	7	>
>	2	8	>
v	2	9	v
>	2	10	>
v	2	11	v
v	2	12	v
>	2	13	>
=	3	0	=
^	3	1	^
v	3	2	v
=	3	3	=
#	3	4	#
#	3	5	#
#	3	6	#
#	3	7	#
>	3	8	>
<	3	9	<
|	3	10	|
<	3	11	<
<	3	12	<
|	3	13	|
#	4	0	#
#	4	1	#
v	4	2	v
#	4	3	#
=	4	4	=
^	4	5	#
#	4	6	#
#	4	7	#
|	4	8	|
<	4	9	<
|	4	10	|
<	4	11	<
<	4	12	<
>	4	13	>
#	5	0	#
#	5	1	#
<	5	2	<
#	5	3	#
^	5	4	#
=	5	5	=
#	5	6	#
#	5	7	#
>	5	8	>
v	5	9	v
>	5	10	>
v	5	11	v
v	5	12	v
|	5	13	|
#	6	0	#
#	6	1	#
v	6	2	v
#	6	3	#
#	6	4	#
#	6	5	#
=	6	6	=
^	6	7	#
|	6	8	|
v	6	9	v
>	6	10	>
v	6	11	v
v	6	12	v
|	6	13	|
#	7	0	#
#	7	1	#
<	7	2	<
#	7	3	#
#	7	4	#
#	7	5	#
^	7	6	#
=	7	7	=
>	7	8	>
<	7	9	<
|	7	10	|
<	7	11	<
<	7	12	<
>	7	13	>
<	8	0	<
|	8	1	|
<	8	2	<
<	8	3	<
|	8	4	|
<	8	5	<
|	8	6	|
<	8	7	<
=	8	8	#
<	8	9	<
|	8	10	|
<	8	11	<
<	8	12	<
|	8	13	|
>	9	0	>
v	9	1	v
v	9	2	v
>	9	3	>
>	9	4	>
v	9	5	v
v	9	6	v
>	9	7	>
>	9	8	>
=	9	9	=
^	9	10	^
=	9	11	=
=	9	12	=
>	9	13	>
|	10	0	|
<	10	1	<
<	10	2	<
|	10	3	|
|	10	4	|
<	10	5	<
<	10	6	<
|	10	7	|
|	10	8	|
^	10	9	^
=	10	10	=
^	10	11	^
^	10	12	^
|	10	13	|
>	11	0	>
v	11	1	v
v	11	2	v
>	11	3	>
>	11	4	>
v	11	5	v
v	11	6	v
>	11	7	>
>	11	8	>
=	11	9	=
^	11	10	^
=	11	11	=
=	11	12	=
>	11	13	>
>	12	0	>
v	12	1	v
v	12	2	v
>	12	3	>
>	12	4	>
v	12	5	v
v	12	6	v
>	12	7	>
>	12	8	>
=	12	9	=
^	12	10	^
=	12	11	=
=	12	12	=
>	12	13	>
|	13	0	|
<	13	1	<
<	13	2	<
|	13	3	|
<	13	4	<
|	13	5	|
|	13	6	|
<	13	7	<
|	13	8	|
<	13	9	<
|	13	10	|
<	13	11	<
<	13	12	<
#	13	13	=
