<	0	2	<
=	0	3	=
<	0	5	<
=	0	6	=
|	0	8	|
|	0	9	|
|	0	13	|
|	0	15	|
|	0	16	|
|	0	19	|
|	0	20	|
<	0	21	<
<	0	23	<
=	1	1	=
v	1	2	v
>	1	3	>
>	1	4	>
>	1	6	>
>	1	7	>
^	1	9	^
=	1	10	=
v	1	13	v
>	1	15	>
v	1	16	v
v	1	17	v
>	1	18	>
v	1	19	v
>	1	20	>
>	1	22	>
>	2	0	>
=	2	2	=
>	2	3	>
>	2	6	>
>	2	7	>
>	2	9	>
>	2	11	>
v	2	13	v
>	2	14	>
v	2	15	v
v	2	16	v
>	2	17	>
v	2	18	v
>	2	19	>
v	2	22	v
v	2	23	v
=	3	0	=
<	3	1	<
=	3	6	=
|	3	9	|
<	3	10	<
|	3	11	|
^	3	12	^
|	3	14	|
|	3	16	|
<	3	17	<
|	3	18	|
|	3	19	|
|	3	20	|
<	3	22	<
<	3	23	<
=	3	24	=
>	4	0	>
<	4	1	<
v	4	2	v
=	4	5	=
|	4	9	|
|	4	11	|
^	4	14	^
#	4	15	#
#	4	16	#
^	4	19	^
#	4	21	#
>	5	0	>
<	5	1	<
v	5	2	v
=	5	4	=
>	5	6	>
>	5	7	>
>	5	8	>
<	5	10	<
v	5	12	v
^	5	14	^
#	5	16	#
#	5	17	#
^	5	19	^
#	5	21	#
>	5	24	>
=	6	0	=
<	6	2	<
<	6	4	<
=	6	6	=
=	6	7	=
|	6	8	|
|	6	9	|
<	6	10	<
|	6	11	|
|	6	14	|
|	6	15	|
|	6	16	|
<	7	1	<
<	7	2	<
=	7	3	=
<	7	4	<
|	7	9	|
<	7	10	<
|	7	14	|
|	7	16	|
<	7	17	<
|	7	20	|
<	7	23	<
^	8	2	^
<	8	4	<
|	8	6	|
|	8	7	|
<	8	10	<
|	8	11	|
<	8	12	<
<	8	13	<
|	8	14	|
<	8	15	<
<	8	16	<
<	8	18	<
=	8	20	=
|	8	21	|
<	8	22	<
<	8	23	<
^	9	1	^
<	9	2	<
|	9	5	|
=	9	9	=
^	9	10	^
|	9	11	|
<	9	12	<
<	9	13	<
|	9	15	|
|	9	18	|
|	9	20	|
<	9	23	<
|	9	24	|
>	10	3	>
>	10	5	>
=	10	10	=
>	10	11	>
v	10	13	v
v	10	14	v
>	10	15	>
v	10	16	v
v	10	17	v
v	10	19	v
>	10	20	>
>	10	24	>
|	11	0	|
<	11	1	<
<	11	2	<
|	11	3	|
|	11	4	|
|	11	5	|
|	11	6	|
|	11	7	|
|	11	9	|
<	11	10	<
=	11	11	=
<	11	12	<
|	11	13	|
<	11	14	<
<	11	15	<
|	11	17	|
<	11	18	<
|	11	20	|
|	11	21	|
|	11	22	|
|	11	24	|
^	12	0	^
v	12	1	v
v	12	2	v
^	12	3	^
v	12	4	v
^	12	7	^
>	12	8	>
v	12	10	v
=	12	12	=
>	12	13	>
>	12	14	>
>	12	16	>
v	12	17	v
>	12	18	>
>	12	20	>
v	13	1	v
v	13	2	v
#	13	4	#
#	13	5	#
|	13	6	|
|	13	7	|
v	13	10	v
<	13	12	<
=	13	13	=
#	13	14	#
#	13	15	#
=	13	16	=
#	13	19	#
#	13	22	#
<	13	23	<
|	13	24	|
|	14	0	|
v	14	1	v
<	14	2	<
|	14	3	|
^	14	4	^
|	14	7	|
|	14	8	|
<	14	12	<
#	14	13	#
#	14	17	#
#	14	18	#
|	14	20	|
^	14	22	^
v	14	23	v
|	15	0	|
<	15	1	<
v	15	2	v
|	15	3	|
#	15	4	#
|	15	9	|
