=	0	0	=
>	0	20	>
v	0	23	v
v	0	29	v
v	0	31	v
v	0	40	v
^	0	41	^
v	0	46	v
>	0	51	>
>	0	55	>
>	0	56	>
^	0	61	^
>	0	66	>
v	0	69	v
>	0	94	>
=	1	1	=
#	1	6	#
#	1	14	#
#	1	15	#
v	1	16	v
|	1	20	|
<	1	22	<
=	1	25	#
#	1	28	#
|	1	29	|
<	1	31	<
#	1	36	#
#	1	38	#
<	1	45	<
#	1	56	#
#	1	57	#
<	1	58	<
#	1	68	#
|	1	76	|
v	1	81	v
#	1	82	#
>	1	84	>
|	1	89	|
<	1	91	<
#	1	98	#
>	1	99	>
=	2	2	=
^	2	6	#
v	2	9	v
|	2	30	|
v	2	31	v
>	2	32	>
>	2	36	>
<	2	40	<
|	2	41	|
<	2	44	<
v	2	46	v
#	2	74	#
>	2	84	>
v	2	85	v
|	2	89	|
#	2	90	#
v	2	91	v
<	3	0	<
#	3	4	#
#	3	11	#
#	3	12	#
#	3	14	#
#	3	15	#
v	3	16	v
<	3	17	<
>	3	20	>
#	3	22	#
#	3	29	#
>	3	32	>
>	3	34	#
|	3	41	|
#	3	43	#
>	3	48	#
#	3	65	#
>	3	76	>
#	3	83	#
>	3	92	>
=	3	94	=
>	4	1	>
#	4	2	#
>	4	5	>
v	4	9	v
v	4	12	v
v	4	14	v
>	4	20	>
>	4	25	>
>	4	26	>
#	4	34	#
#	4	36	#
#	4	38	#
#	4	39	#
v	4	44	v
#	4	47	#
>	4	49	>
|	4	50	|
|	4	61	#
v	4	65	#
#	4	72	#
v	4	77	v
#	4	79	#
#	4	93	#
#	4	94	#
<	4	97	<
<	5	0	<
<	5	2	<
<	5	4	<
<	5	7	<
|	5	10	#
#	5	14	#
<	5	17	<
=	5	18	=
#	5	19	#
<	5	24	<
|	5	26	|
|	5	41	|
|	5	47	|
<	5	58	<
<	5	62	<
<	5	71	<
#	5	72	#
>	5	75	>
<	5	77	<
#	5	83	#
>	5	84	>
<	5	94	<
<	5	97	<
v	6	0	v
#	6	4	#
#	6	7	#
|	6	13	|
#	6	15	#
v	6	17	v
<	6	31	<
|	6	33	|
v	6	44	v
|	6	48	#
|	6	55	#
|	6	57	|
<	6	58	<
>	6	61	>
#	6	63	#
v	6	71	v
=	6	73	#
|	6	87	|
<	6	91	<
|	6	92	|
^	6	94	#
>	7	5	>
#	7	6	#
v	7	12	v
>	7	20	>
#	7	22	#
v	7	27	v
>	7	49	>
#	7	51	#
>	7	52	>
#	7	53	#
^	7	60	^
>	7	63	>
#	7	66	#
>	7	67	>
#	7	70	#
#	7	73	#
v	7	77	v
v	8	4	v
v	8	7	v
<	8	17	<
|	8	26	|
>	8	29	#
#	8	32	#
<	8	40	<
>	8	41	>
<	8	46	<
#	8	51	#
^	8	52	#
v	8	53	#
v	8	58	v
>	8	60	>
>	8	61	>
^	8	63	#
|	8	67	|
<	8	71	<
|	8	75	|
<	8	77	<
>	8	80	>
#	8	85	#
|	8	88	|
=	8	90	#
#	8	94	#
#	8	98	#
v	9	0	v
v	9	27	v
v	9	28	v
v	9	32	v
^	9	33	#
v	9	36	v
v	9	37	v
v	9	40	v
v	9	42	v
>	9	50	>
>	9	51	>
v	9	58	v
v	9	63	v
>	9	73	>
v	9	79	v
>	9	80	>
v	9	87	v
>	9	88	>
>	9	89	>
#	10	1	#
|	10	5	#
|	10	11	|
|	10	13	|
#	10	19	#
v	10	23	v
>	10	26	>
#	10	32	#
|	10	41	|
<	10	46	<
#	10	47	#
|	10	50	|
|	10	61	|
#	10	63	#
#	10	68	#
v	10	77	v
#	10	78	#
>	10	88	>
#	10	93	#
#	11	3	#
#	11	4	#
#	11	22	#
|	11	26	|
#	11	38	#
>	11	41	>
#	11	47	#
>	11	50	>
#	11	57	#
#	11	64	#
<	11	69	<
#	11	70	#
<	11	71	<
<	11	93	<
#	12	5	#
>	12	13	>
=	12	14	=
#	12	21	#
#	12	39	#
v	12	45	v
v	12	46	v
#	12	52	#
#	12	55	#
=	12	68	=
>	12	75	>
>	12	80	>
v	12	81	v
v	12	85	v
#	12	93	#
v	12	97	v
=	12	98	#
<	13	0	<
|	13	15	|
<	13	17	<
<	13	23	<
<	13	28	<
|	13	30	|
<	13	31	<
<	13	34	<
<	13	37	#
<	13	53	<
<	13	55	<
|	13	92	|
=	14	14	=
<	14	17	<
|	14	20	|
<	14	27	<
>	14	34	>
>	14	42	>
>	14	43	>
|	14	49	|
v	14	51	v
#	14	55	#
^	14	56	^
v	14	58	v
v	14	62	v
#	14	63	#
#	14	65	#
<	14	71	<
#	14	72	#
#	14	73	#
>	14	75	>
#	14	79	#
#	14	82	#
>	14	86	>
#	14	87	#
#	14	92	#
#	14	94	#
v	14	97	v
#	15	1	#
#	15	6	#
#	15	10	#
<	15	16	<
#	15	21	#
v	15	23	v
#	15	28	#
|	15	30	|
v	15	31	v
|	15	33	|
#	15	39	#
v	15	44	v
>	15	49	>
<	15	51	<
#	15	54	#
=	15	56	=
<	15	64	<
<	15	66	<
>	15	88	>
v	15	95	v
^	15	98	^
v	16	0	v
v	16	2	v
v	16	4	v
v	16	11	v
>	16	19	>
v	16	40	v
>	16	50	>
v	16	52	v
v	16	57	#
v	16	62	v
v	16	63	v
^	16	67	^
v	16	69	v
>	16	76	>
v	16	78	v
=	16	81	=
^	16	86	^
v	17	0	v
>	17	2	>
>	17	11	>
>	17	20	>
v	17	22	v
=	17	23	=
v	17	24	v
^	17	26	^
>	17	29	>
>	17	33	>
>	17	34	>
>	17	41	>
v	17	52	v
>	17	65	>
>	17	69	>
=	17	77	=
>	17	86	>
^	17	88	^
>	17	89	>
>	17	90	>
>	17	92	>
<	18	28	<
v	18	31	v
#	18	34	#
<	18	40	<
|	18	47	|
|	18	50	|
#	18	52	#
#	18	57	#
v	18	81	v
#	18	91	#
#	19	2	#
#	19	8	#
<	19	9	<
|	19	11	#
^	19	12	#
=	19	15	#
#	19	18	#
>	19	26	>
#	19	39	#
#	19	52	#
#	19	55	#
|	19	57	|
#	19	59	#
#	19	63	#
<	19	64	<
#	19	65	#
#	19	78	#
#	19	79	#
<	19	81	<
|	19	86	|
#	19	91	#
#	19	94	#
v	19	95	v
>	19	99	>
<	20	5	<
|	20	6	|
<	20	7	<
<	20	8	<
