=	0	0	*
#	0	3	*
#	0	7	*
#	0	8	#
|	0	9	|
#	0	10	#
>	0	15	>
#	0	16	#
v	0	19	*
v	0	24	*
>	0	25	*
>	0	28	*
#	0	29	*
#	0	30	*
>	0	32	*
#	0	33	*
>	0	35	>
>	0	41	*
#	0	42	#
>	0	44	>
#	0	45	*
>	0	48	*
#	0	49	#
#	0	51	#
v	0	53	*
#	0	57	*
>	0	60	>
>	0	63	*
>	0	64	>
#	0	65	*
v	0	66	*
>	0	69	>
#	0	70	*
#	0	72	?
#	0	74	#
#	0	76	#
#	0	78	#
v	0	79	*
#	1	3	#
<	1	5	<
>	1	7	>
#	1	8	*
v	1	10	*
#	1	13	#
v	1	14	v
#	1	15	#
#	1	16	#
#	1	17	*
#	1	21	*
#	1	22	#
#	1	23	#
<	1	26	*
#	1	27	?
#	1	28	#
#	1	29	*
#	1	32	#
|	1	37	|
#	1	38	#
|	1	39	*
#	1	40	*
>	1	41	>
>	1	43	*
v	1	55	?
#	1	56	#
#	1	58	#
#	1	59	#
v	1	61	v
#	1	64	*
#	1	65	#
#	1	67	*
v	1	70	v
#	1	71	*
#	1	73	#
#	1	75	*
v	2	0	v
>	2	1	>
=	2	2	*
#	2	4	#
=	2	5	*
>	2	8	*
>	2	9	>
v	2	13	v
#	2	16	#
#	2	17	*
#	2	19	*
#	2	21	?
#	2	26	#
#	2	32	#
>	2	33	*
v	2	34	v
|	2	35	*
^	2	37	^
>	2	39	>
#	2	42	#
v	2	46	v
#	2	49	*
>	2	50	>
#	2	51	*
v	2	55	v
>	2	58	*
v	2	59	*
v	2	61	*
#	2	63	*
#	2	66	*
v	2	67	*
#	2	69	*
v	2	70	v
#	2	71	*
#	2	73	#
v	2	75	v
v	2	76	v
v	2	77	v
#	3	0	*
#	3	2	#
=	3	3	*
#	3	5	*
#	3	7	*
#	3	8	*
#	3	12	*
#	3	15	*
v	3	16	*
#	3	19	#
#	3	20	*
#	3	21	*
#	3	23	#
#	3	24	*
#	3	27	#
#	3	28	*
#	3	30	*
#	3	32	*
#	3	34	*
|	3	41	*
|	3	44	|
#	3	45	*
|	3	47	|
#	3	48	*
#	3	49	#
#	3	52	#
#	3	53	*
#	3	55	*
#	3	57	*
#	3	58	*
#	3	59	#
|	3	60	*
#	3	62	?
|	3	63	*
#	3	64	*
#	3	66	#
|	3	68	|
#	3	69	*
#	3	70	#
=	3	71	?
v	3	76	?
#	3	78	#
<	4	0	<
=	4	4	*
<	4	6	*
#	4	7	*
#	4	10	*
#	4	11	*
#	4	12	*
#	4	15	*
#	4	18	*
#	4	21	?
|	4	23	*
#	4	24	*
|	4	25	*
|	4	29	*
|	4	30	|
#	4	31	*
<	4	34	*
|	4	35	|
|	4	39	|
|	4	40	|
|	4	42	|
|	4	45	*
|	4	48	*
#	4	49	*
#	4	50	*
<	4	51	*
<	4	55	*
#	4	56	#
|	4	57	*
#	4	58	*
|	4	60	*
#	4	63	?
<	4	64	?
#	4	66	*
<	4	69	?
#	4	71	*
#	4	73	#
<	4	76	*
<	4	78	<
v	5	0	v
=	5	2	*
#	5	3	*
v	5	6	v
>	5	9	*
v	5	10	*
v	5	12	*
v	5	13	v
v	5	14	*
#	5	16	*
#	5	17	*
#	5	19	*
v	5	20	*
>	5	22	>
v	5	24	v
>	5	25	*
#	5	26	*
#	5	28	#
#	5	29	#
#	5	30	#
>	5	33	>
v	5	34	*
|	5	35	*
>	5	36	*
^	5	37	*
>	5	39	*
#	5	40	#
>	5	41	*
#	5	42	#
>	5	43	>
>	5	44	*
#	5	45	#
v	5	46	v
>	5	48	*
>	5	50	*
#	5	51	#
v	5	52	v
#	5	53	*
>	5	60	>
v	5	61	*
v	5	64	v
#	5	69	*
v	5	70	*
#	5	71	*
#	5	72	*
#	5	73	#
v	5	75	*
#	5	78	*
>	6	4	*
>	6	7	*
>	6	10	?
v	6	13	v
v	6	14	v
>	6	17	>
>	6	18	*
v	6	19	v
v	6	24	v
>	6	25	*
v	6	26	v
v	6	27	*
>	6	29	>
>	6	30	*
>	6	32	*
v	6	34	*
v	6	36	v
>	6	37	>
>	6	38	*
>	6	42	>
>	6	43	>
>	6	44	*
>	6	46	>
>	6	47	>
>	6	48	*
>	6	51	?
>	6	52	*
v	6	53	v
>	6	55	?
v	6	56	*
v	6	57	*
>	6	60	>
v	6	66	v
v	6	70	v
v	6	76	v
>	6	77	*
v	6	78	*
#	7	0	*
<	7	2	<
#	7	3	*
#	7	4	*
<	7	5	<
<	7	6	*
|	7	9	*
#	7	11	*
#	7	12	#
#	7	13	*
v	7	14	v
#	7	15	*
#	7	16	*
#	7	17	#
#	7	18	?
|	7	20	*
|	7	21	|
#	7	23	*
>	7	25	*
<	7	26	<
#	7	27	*
#	7	28	*
#	7	31	*
#	7	32	#
<	7	33	*
|	7	35	*
#	7	38	#
#	7	42	#
=	7	43	*
>	7	44	?
#	7	45	#
#	7	47	#
#	7	49	*
>	7	50	*
#	7	52	?
#	7	53	#
|	7	54	|
#	7	55	*
#	7	56	#
|	7	57	*
#	7	59	#
<	7	61	<
#	7	64	*
#	7	65	*
#	7	66	*
v	7	70	v
<	7	74	<
#	7	75	#
#	7	79	*
#	8	1	*
<	8	2	*
#	8	3	*
#	8	4	#
<	8	5	<
<	8	6	<
#	8	10	#
<	8	11	*
#	8	13	*
v	8	14	v
#	8	17	*
#	8	20	#
#	8	21	#
#	8	22	*
#	8	23	#
#	8	24	*
|	8	25	*
#	8	26	*
#	8	30	*
#	8	34	*
|	8	37	*
>	8	39	>
#	8	40	#
#	8	41	#
#	8	44	*
#	8	45	#
>	8	50	>
#	8	52	*
#	8	62	#
#	8	64	#
|	8	68	*
#	8	69	#
#	8	71	*
<	8	72	*
^	8	75	*
v	8	76	*
#	8	78	*
#	8	79	*
<	9	1	<
|	9	3	|
<	9	5	*
|	9	7	*
|	9	8	|
<	9	11	<
|	9	12	*
<	9	13	*
|	9	15	|
<	9	16	<
<	9	19	*
<	9	23	<
<	9	24	*
<	9	27	<
|	9	32	|
|	9	33	*
|	9	38	|
|	9	40	|
|	9	43	*
|	9	44	*
|	9	45	|
|	9	46	|
|	9	47	|
|	9	51	*
|	9	55	*
<	9	57	<
|	9	58	|
|	9	60	*
^	9	61	*
<	9	62	<
<	9	67	<
<	9	70	*
|	9	71	|
|	9	72	*
|	9	77	|
<	9	79	<
v	10	1	*
#	10	4	*
v	10	5	*
#	10	7	?
=	10	10	*
>	10	12	*
#	10	13	*
v	10	14	*
#	10	15	?
#	10	17	*
#	10	18	?
>	10	20	*
#	10	22	#
v	10	26	v
v	10	27	*
#	10	28	*
#	10	29	?
#	10	31	*
#	10	33	#
#	10	34	?
>	10	35	*
>	10	37	*
|	10	41	|
>	10	45	*
#	10	46	#
#	10	49	?
#	10	50	?
#	10	51	*
#	10	52	*
#	10	53	*
#	10	55	*
v	10	56	v
#	10	57	?
#	10	59	*
#	10	63	?
#	10	66	*
#	10	67	*
#	10	68	?
#	10	70	*
>	10	71	?
#	10	73	*
#	10	74	?
#	10	75	#
v	10	76	v
#	10	77	#
v	10	78	v
v	11	0	v
#	11	1	#
#	11	4	*
#	11	5	#
v	11	6	v
#	11	7	*
>	11	8	*
#	11	10	?
#	11	12	*
#	11	13	?
>	11	15	?
#	11	16	#
v	11	18	v
>	11	19	*
#	11	20	*
#	11	21	*
>	11	23	>
|	11	25	*
#	11	27	#
#	11	29	#
>	11	30	*
v	11	31	?
#	11	32	*
#	11	37	*
>	11	38	*
>	11	39	*
#	11	41	*
#	11	42	#
#	11	43	#
>	11	50	*
#	11	52	?
>	11	54	>
#	11	55	?
>	11	58	>
v	11	64	*
#	11	69	*
#	11	71	?
v	11	74	*
v	11	75	*
v	11	76	*
v	11	77	*
v	11	78	*
#	12	0	?
v	12	2	v
#	12	3	*
#	12	4	*
v	12	5	*
|	12	9	*
<	12	10	*
#	12	11	*
=	12	12	*
#	12	15	#
#	12	19	*
#	12	21	#
#	12	22	#
#	12	23	#
|	12	25	|
#	12	26	#
^	12	27	*
#	12	31	#
#	12	32	*
#	12	34	*
|	12	36	|
>	12	37	>
#	12	38	#
#	12	46	*
#	12	47	?
#	12	49	*
#	12	52	*
#	12	53	*
#	12	54	#
#	12	55	#
#	12	59	*
#	12	64	*
#	12	66	#
#	12	69	*
#	12	72	*
#	12	73	#
#	13	7	*
#	13	8	*
>	13	9	*
#	13	10	*
#	13	12	#
#	13	19	*
#	13	21	*
v	13	22	?
#	13	23	#
|	13	25	*
#	13	26	*
#	13	27	#
#	13	31	?
>	13	35	*
#	13	38	#
#	13	40	*
#	13	41	?
#	13	47	*
|	13	48	?
#	13	50	*
#	13	53	?
#	13	56	*
#	13	58	#
v	13	61	v
#	13	65	*
>	13	67	?
>	13	68	*
#	13	72	*
#	13	73	*
#	13	77	?
#	13	78	*
#	13	79	*
>	14	0	?
v	14	3	v
>	14	4	>
v	14	5	*
v	14	10	*
v	14	11	v
v	14	12	v
>	14	13	>
>	14	15	>
v	14	17	v
>	14	18	*
>	14	20	>
v	14	23	v
v	14	24	*
>	14	27	*
>	14	28	>
>	14	31	>
>	14	32	*
>	14	34	>
>	14	36	*
>	14	37	*
>	14	39	>
v	14	40	v
>	14	41	>
>	14	44	>
>	14	47	>
v	14	51	v
>	14	52	*
v	14	53	*
>	14	55	?
>	14	56	*
>	14	59	>
>	14	60	>
>	14	63	*
>	14	65	*
>	14	67	>
>	14	70	?
v	14	72	v
>	14	73	>
v	14	74	*
>	14	76	*
#	15	3	*
#	15	4	*
#	15	5	#
<	15	6	<
#	15	7	*
#	15	8	#
#	15	18	*
#	15	19	?
#	15	21	?
|	15	25	*
v	15	26	?
#	15	27	*
#	15	29	*
#	15	31	*
#	15	33	#
#	15	34	?
>	15	35	*
#	15	37	*
#	15	38	?
>	15	39	>
#	15	42	*
#	15	43	*
#	15	45	?
#	15	47	?
#	15	52	?
#	15	53	#
<	15	56	*
#	15	57	*
#	15	58	*
<	15	61	*
>	15	63	?
#	15	64	?
#	15	65	?
#	15	67	#
#	15	69	*
#	15	75	*
#	15	79	#
v	16	3	*
#	16	4	#
#	16	5	*
#	16	7	*
#	16	8	#
v	16	12	v
=	16	16	*
#	16	17	*
#	16	19	*
#	16	22	#
#	16	23	#
v	16	24	*
v	16	26	*
>	16	32	*
#	16	33	*
>	16	36	>
>	16	39	>
#	16	40	*
>	16	44	*
#	16	45	#
#	16	46	#
>	16	47	*
>	16	48	>
#	16	49	?
v	16	53	v
#	16	55	*
>	16	57	*
#	16	59	#
>	16	63	>
#	16	64	#
#	16	65	#
>	16	68	*
#	16	70	*
v	16	72	v
>	16	73	>
#	16	75	*
v	16	79	*
#	17	1	*
#	17	2	*
#	17	3	#
#	17	5	*
#	17	8	*
|	17	9	|
#	17	10	*
#	17	11	#
#	17	15	?
#	17	16	*
=	17	17	*
|	17	21	?
#	17	22	*
>	17	25	>
#	17	26	*
>	17	30	*
#	17	31	#
#	17	32	*
#	17	33	*
#	17	34	?
>	17	35	>
#	17	37	*
=	17	40	*
#	17	41	*
<	17	42	<
#	17	43	*
>	17	47	?
#	17	48	*
#	17	49	#
#	17	50	*
#	17	53	*
#	17	58	#
>	17	60	>
<	17	61	*
#	17	64	*
v	17	65	*
#	17	70	?
#	17	72	#
#	17	73	?
#	17	75	*
#	17	76	*
#	17	77	*
#	17	78	*
#	17	79	*
<	18	0	<
#	18	4	*
v	18	5	v
<	18	6	*
#	18	8	#
|	18	9	|
#	18	12	#
#	18	13	?
<	18	14	*
#	18	15	*
#	18	17	#
=	18	18	*
#	18	19	?
>	18	20	*
#	18	21	*
#	18	22	#
#	18	24	*
>	18	25	>
#	18	27	*
#	18	28	*
#	18	30	*
>	18	32	?
>	18	39	>
#	18	40	#
#	18	42	*
#	18	45	*
#	18	46	*
>	18	47	*
>	18	48	*
#	18	49	?
|	18	50	*
#	18	51	*
#	18	52	*
#	18	56	?
#	18	57	?
>	18	59	*
<	18	61	*
#	18	64	?
#	18	65	*
#	18	66	#
#	18	68	*
#	18	69	*
<	18	70	?
#	18	71	*
#	18	75	#
#	18	76	?
#	18	78	*
v	19	0	*
#	19	2	*
#	19	5	*
#	19	7	#
>	19	9	*
#	19	10	#
<	19	11	*
#	19	12	*
#	19	13	*
v	19	14	v
#	19	16	*
#	19	17	#
=	19	19	*
#	19	20	#
#	19	21	#
=	19	23	*
|	19	25	*
#	19	27	#
#	19	29	?
>	19	35	>
|	19	39	|
#	19	46	#
#	19	47	#
v	19	51	v
#	19	54	#
#	19	56	#
#	19	59	*
#	19	63	#
#	19	64	*
#	19	67	*
#	19	70	?
#	19	71	*
#	19	72	*
#	19	73	*
v	19	77	v
^	20	1	?
#	20	3	*
v	20	5	*
|	20	7	*
<	20	10	*
#	20	11	*
#	20	12	?
#	20	13	#
#	20	15	#
#	20	17	#
<	20	18	*
#	20	21	#
#	20	23	*
#	20	28	*
#	20	30	#
#	20	32	#
#	20	33	*
#	20	38	*
#	20	42	*
|	20	43	*
#	20	45	?
#	20	48	?
#	20	49	*
#	20	51	?
#	20	52	#
#	20	53	#
>	20	54	*
#	20	56	*
#	20	57	*
<	20	61	*
#	20	64	*
#	20	66	*
#	20	67	#
#	20	68	*
#	20	69	*
<	20	70	<
#	20	71	*
#	20	72	*
#	20	73	*
#	20	74	*
<	20	77	*
#	21	0	#
#	21	1	*
#	21	3	*
#	21	10	?
#	21	11	*
#	21	13	*
#	21	18	*
=	21	21	*
#	21	22	*
#	21	23	#
#	21	27	*
#	21	28	*
#	21	29	#
#	21	32	*
#	21	33	*
#	21	34	*
|	21	41	*
#	21	46	#
|	21	47	*
#	21	48	*
<	21	49	*
#	21	51	*
#	21	52	?
#	21	53	#
#	21	54	*
#	21	55	*
|	21	60	*
|	21	63	|
#	21	64	*
<	21	65	*
#	21	66	#
<	21	70	*
#	21	73	*
v	21	74	*
v	22	0	v
<	22	2	<
#	22	3	#
#	22	8	*
>	22	9	>
#	22	11	?
v	22	14	v
#	22	15	?
#	22	17	*
#	22	20	#
#	22	21	*
=	22	22	*
#	22	24	*
#	22	26	#
#	22	31	*
>	22	36	>
|	22	37	*
#	22	45	*
#	22	47	#
>	22	48	*
#	22	50	#
#	22	58	*
#	22	59	*
>	22	60	*
#	22	62	*
|	22	63	*
v	22	64	v
#	22	65	*
#	22	66	*
#	22	67	#
#	22	68	?
#	22	69	*
v	22	74	v
#	22	75	*
v	22	76	v
v	22	77	*
#	22	79	#
v	23	0	v
|	23	4	*
v	23	6	v
#	23	7	*
#	23	10	#
#	23	17	#
=	23	19	*
#	23	20	*
#	23	22	#
<	23	24	*
#	23	26	#
#	23	27	*
#	23	28	?
>	23	30	>
#	23	31	#
#	23	32	#
#	23	34	?
>	23	35	*
#	23	37	*
#	23	38	*
#	23	47	#
#	23	50	?
#	23	54	#
#	23	56	#
#	23	58	#
#	23	66	*
|	23	69	?
#	23	73	#
#	23	74	#
#	23	75	*
#	23	76	*
#	23	78	*
v	24	0	*
v	24	2	v
#	24	3	*
#	24	4	*
#	24	7	#
#	24	8	*
>	24	9	*
#	24	10	#
#	24	11	#
#	24	13	#
v	24	14	*
#	24	15	#
v	24	16	*
#	24	17	#
#	24	18	*
>	24	19	>
#	24	21	?
#	24	22	*
>	24	23	*
|	24	25	*
#	24	31	#
#	24	32	#
>	24	35	*
#	24	38	#
|	24	39	|
#	24	40	#
#	24	42	*
#	24	43	#
#	24	45	*
#	24	46	#
#	24	47	*
#	24	49	#
#	24	50	*
v	24	51	v
#	24	52	#
#	24	53	*
#	24	54	#
v	24	56	*
#	24	57	*
v	24	61	v
#	24	62	*
#	24	63	*
#	24	64	*
#	24	66	#
>	24	67	>
>	24	68	*
#	24	69	*
#	24	70	*
#	24	71	*
#	24	73	*
#	24	76	#
#	24	78	*
<	25	0	*
<	25	1	<
