<	most ( bark hippo )	some hippo
<	most ( bark hungry )	some hungry
<	most ( bark non-ape )	some non-ape
<	most ( bark ape )	some ape
<	most ( bark animal )	some animal
<	most ( bark dog )	some dog
<	most ( bark cat )	some cat
<	most ( bark unable )	some unable
<	most ( bark able )	some able
<	most ( bark Thai )	some Thai
<	most ( bark Asian )	some Asian
<	most ( bark bird )	some bird
<	most ( bark crow )	some crow
<	most ( bark sofa )	some sofa
<	most ( bark couch )	some couch
<	most ( bark snail )	some snail
<	most ( bark vertebrate )	some vertebrate
<	most ( bark invertebrate )	some invertebrate
<	most ( bark bark )	some bark
<	most ( bark puppy )	some puppy
<	most ( bark feline )	some feline
<	most ( bark mobile )	some mobile
<	most ( bark immobile )	some immobile
<	most ( bark dead )	some dead
<	most ( bark live )	some live
<	most ( bark European )	some European
<	most ( bark French )	some French
<	most ( bark Parisian )	some Parisian
<	most ( bark human )	some human
<	most ( bark animate )	some animate
<	most ( bark inanimate )	some inanimate
<	most ( bark seat )	some seat
<	most ( bark bench )	some bench
<	most ( bark woody )	some woody
<	most ( bark plant )	some plant
<	most ( bark tree )	some tree
<	most ( bark oak )	some oak
<	most ( bark bush )	some bush
<	most ( bark destructible )	some destructible
<	most ( bark indestructible )	some indestructible
<	most ( bark mammal )	some mammal
