|	three ( bark hippo )	no hippo
|	three ( bark hungry )	no hungry
|	three ( bark non-ape )	no non-ape
|	three ( bark ape )	no ape
|	three ( bark animal )	no animal
|	three ( bark dog )	no dog
|	three ( bark cat )	no cat
|	three ( bark unable )	no unable
|	three ( bark able )	no able
|	three ( bark Thai )	no Thai
|	three ( bark Asian )	no Asian
|	three ( bark bird )	no bird
|	three ( bark crow )	no crow
|	three ( bark sofa )	no sofa
|	three ( bark couch )	no couch
|	three ( bark snail )	no snail
|	three ( bark vertebrate )	no vertebrate
|	three ( bark invertebrate )	no invertebrate
|	three ( bark bark )	no bark
|	three ( bark puppy )	no puppy
|	three ( bark feline )	no feline
|	three ( bark mobile )	no mobile
|	three ( bark immobile )	no immobile
|	three ( bark dead )	no dead
|	three ( bark live )	no live
|	three ( bark European )	no European
|	three ( bark French )	no French
|	three ( bark Parisian )	no Parisian
|	three ( bark human )	no human
|	three ( bark animate )	no animate
|	three ( bark inanimate )	no inanimate
|	three ( bark seat )	no seat
|	three ( bark bench )	no bench
|	three ( bark woody )	no woody
|	three ( bark plant )	no plant
|	three ( bark tree )	no tree
|	three ( bark oak )	no oak
|	three ( bark bush )	no bush
|	three ( bark destructible )	no destructible
|	three ( bark indestructible )	no indestructible
|	three ( bark mammal )	no mammal
