|	two ( European hippo )	no hippo
|	two ( European hungry )	no hungry
|	two ( European non-ape )	no non-ape
|	two ( European ape )	no ape
|	two ( European animal )	no animal
|	two ( European dog )	no dog
|	two ( European cat )	no cat
|	two ( European unable )	no unable
|	two ( European able )	no able
|	two ( European Thai )	no Thai
|	two ( European Asian )	no Asian
|	two ( European bird )	no bird
|	two ( European crow )	no crow
|	two ( European sofa )	no sofa
|	two ( European couch )	no couch
|	two ( European snail )	no snail
|	two ( European vertebrate )	no vertebrate
|	two ( European invertebrate )	no invertebrate
|	two ( European bark )	no bark
|	two ( European puppy )	no puppy
|	two ( European feline )	no feline
|	two ( European mobile )	no mobile
|	two ( European immobile )	no immobile
|	two ( European dead )	no dead
|	two ( European live )	no live
|	two ( European European )	no European
|	two ( European French )	no French
|	two ( European Parisian )	no Parisian
|	two ( European human )	no human
|	two ( European animate )	no animate
|	two ( European inanimate )	no inanimate
|	two ( European seat )	no seat
|	two ( European bench )	no bench
|	two ( European woody )	no woody
|	two ( European plant )	no plant
|	two ( European tree )	no tree
|	two ( European oak )	no oak
|	two ( European bush )	no bush
|	two ( European destructible )	no destructible
|	two ( European indestructible )	no indestructible
|	two ( European mammal )	no mammal
