<	two ( bark hippo )	some hippo
<	two ( bark hungry )	some hungry
<	two ( bark non-ape )	some non-ape
<	two ( bark ape )	some ape
<	two ( bark animal )	some animal
<	two ( bark dog )	some dog
<	two ( bark cat )	some cat
<	two ( bark unable )	some unable
<	two ( bark able )	some able
<	two ( bark Thai )	some Thai
<	two ( bark Asian )	some Asian
<	two ( bark bird )	some bird
<	two ( bark crow )	some crow
<	two ( bark sofa )	some sofa
<	two ( bark couch )	some couch
<	two ( bark snail )	some snail
<	two ( bark vertebrate )	some vertebrate
<	two ( bark invertebrate )	some invertebrate
<	two ( bark bark )	some bark
<	two ( bark puppy )	some puppy
<	two ( bark feline )	some feline
<	two ( bark mobile )	some mobile
<	two ( bark immobile )	some immobile
<	two ( bark dead )	some dead
<	two ( bark live )	some live
<	two ( bark European )	some European
<	two ( bark French )	some French
<	two ( bark Parisian )	some Parisian
<	two ( bark human )	some human
<	two ( bark animate )	some animate
<	two ( bark inanimate )	some inanimate
<	two ( bark seat )	some seat
<	two ( bark bench )	some bench
<	two ( bark woody )	some woody
<	two ( bark plant )	some plant
<	two ( bark tree )	some tree
<	two ( bark oak )	some oak
<	two ( bark bush )	some bush
<	two ( bark destructible )	some destructible
<	two ( bark indestructible )	some indestructible
<	two ( bark mammal )	some mammal
