<	three ( bark hippo )	three hippo
<	three ( bark hungry )	three hungry
<	three ( bark non-ape )	three non-ape
<	three ( bark ape )	three ape
<	three ( bark animal )	three animal
<	three ( bark dog )	three dog
<	three ( bark cat )	three cat
<	three ( bark unable )	three unable
<	three ( bark able )	three able
<	three ( bark Thai )	three Thai
<	three ( bark Asian )	three Asian
<	three ( bark bird )	three bird
<	three ( bark crow )	three crow
<	three ( bark sofa )	three sofa
<	three ( bark couch )	three couch
<	three ( bark snail )	three snail
<	three ( bark vertebrate )	three vertebrate
<	three ( bark invertebrate )	three invertebrate
<	three ( bark bark )	three bark
<	three ( bark puppy )	three puppy
<	three ( bark feline )	three feline
<	three ( bark mobile )	three mobile
<	three ( bark immobile )	three immobile
<	three ( bark dead )	three dead
<	three ( bark live )	three live
<	three ( bark European )	three European
<	three ( bark French )	three French
<	three ( bark Parisian )	three Parisian
<	three ( bark human )	three human
<	three ( bark animate )	three animate
<	three ( bark inanimate )	three inanimate
<	three ( bark seat )	three seat
<	three ( bark bench )	three bench
<	three ( bark woody )	three woody
<	three ( bark plant )	three plant
<	three ( bark tree )	three tree
<	three ( bark oak )	three oak
<	three ( bark bush )	three bush
<	three ( bark destructible )	three destructible
<	three ( bark indestructible )	three indestructible
<	three ( bark mammal )	three mammal
