<	three ( bark hippo )	two hippo
<	three ( bark hungry )	two hungry
<	three ( bark non-ape )	two non-ape
<	three ( bark ape )	two ape
<	three ( bark animal )	two animal
<	three ( bark dog )	two dog
<	three ( bark cat )	two cat
<	three ( bark unable )	two unable
<	three ( bark able )	two able
<	three ( bark Thai )	two Thai
<	three ( bark Asian )	two Asian
<	three ( bark bird )	two bird
<	three ( bark crow )	two crow
<	three ( bark sofa )	two sofa
<	three ( bark couch )	two couch
<	three ( bark snail )	two snail
<	three ( bark vertebrate )	two vertebrate
<	three ( bark invertebrate )	two invertebrate
<	three ( bark bark )	two bark
<	three ( bark puppy )	two puppy
<	three ( bark feline )	two feline
<	three ( bark mobile )	two mobile
<	three ( bark immobile )	two immobile
<	three ( bark dead )	two dead
<	three ( bark live )	two live
<	three ( bark European )	two European
<	three ( bark French )	two French
<	three ( bark Parisian )	two Parisian
<	three ( bark human )	two human
<	three ( bark animate )	two animate
<	three ( bark inanimate )	two inanimate
<	three ( bark seat )	two seat
<	three ( bark bench )	two bench
<	three ( bark woody )	two woody
<	three ( bark plant )	two plant
<	three ( bark tree )	two tree
<	three ( bark oak )	two oak
<	three ( bark bush )	two bush
<	three ( bark destructible )	two destructible
<	three ( bark indestructible )	two indestructible
<	three ( bark mammal )	two mammal
