<	two ( mobile hippo )	two hippo
<	two ( mobile hungry )	two hungry
<	two ( mobile non-ape )	two non-ape
<	two ( mobile ape )	two ape
<	two ( mobile animal )	two animal
<	two ( mobile dog )	two dog
<	two ( mobile cat )	two cat
<	two ( mobile unable )	two unable
<	two ( mobile able )	two able
<	two ( mobile Thai )	two Thai
<	two ( mobile Asian )	two Asian
<	two ( mobile bird )	two bird
<	two ( mobile crow )	two crow
<	two ( mobile sofa )	two sofa
<	two ( mobile couch )	two couch
<	two ( mobile snail )	two snail
<	two ( mobile vertebrate )	two vertebrate
<	two ( mobile invertebrate )	two invertebrate
<	two ( mobile bark )	two bark
<	two ( mobile puppy )	two puppy
<	two ( mobile feline )	two feline
<	two ( mobile mobile )	two mobile
<	two ( mobile immobile )	two immobile
<	two ( mobile dead )	two dead
<	two ( mobile live )	two live
<	two ( mobile European )	two European
<	two ( mobile French )	two French
<	two ( mobile Parisian )	two Parisian
<	two ( mobile human )	two human
<	two ( mobile animate )	two animate
<	two ( mobile inanimate )	two inanimate
<	two ( mobile seat )	two seat
<	two ( mobile bench )	two bench
<	two ( mobile woody )	two woody
<	two ( mobile plant )	two plant
<	two ( mobile tree )	two tree
<	two ( mobile oak )	two oak
<	two ( mobile bush )	two bush
<	two ( mobile destructible )	two destructible
<	two ( mobile indestructible )	two indestructible
<	two ( mobile mammal )	two mammal
