>	all hippo	all non-ape
>	all dog	all non-ape
>	all cat	all non-ape
>	all bird	all non-ape
>	all crow	all non-ape
>	all sofa	all non-ape
>	all couch	all non-ape
>	all snail	all non-ape
>	all invertebrate	all non-ape
>	all puppy	all non-ape
>	all feline	all non-ape
>	all immobile	all non-ape
>	all seat	all non-ape
>	all bench	all non-ape
>	all woody	all non-ape
>	all plant	all non-ape
>	all tree	all non-ape
>	all oak	all non-ape
>	all bush	all non-ape
>	all indestructible	all non-ape
>	all human	all ape
>	all hippo	all animal
>	all hungry	all animal
>	all ape	all animal
>	all dog	all animal
>	all cat	all animal
>	all bird	all animal
>	all crow	all animal
>	all snail	all animal
>	all vertebrate	all animal
>	all invertebrate	all animal
>	all bark	all animal
>	all puppy	all animal
>	all feline	all animal
>	all human	all animal
>	all mammal	all animal
>	all puppy	all dog
>	all Thai	all Asian
>	all crow	all bird
>	all hippo	all vertebrate
>	all ape	all vertebrate
>	all dog	all vertebrate
>	all cat	all vertebrate
>	all bird	all vertebrate
>	all crow	all vertebrate
>	all bark	all vertebrate
>	all puppy	all vertebrate
>	all feline	all vertebrate
>	all human	all vertebrate
>	all mammal	all vertebrate
>	all snail	all invertebrate
>	all cat	all feline
>	all hippo	all mobile
>	all ape	all mobile
>	all animal	all mobile
>	all dog	all mobile
>	all cat	all mobile
>	all bird	all mobile
>	all crow	all mobile
>	all snail	all mobile
>	all vertebrate	all mobile
>	all bark	all mobile
>	all puppy	all mobile
>	all feline	all mobile
>	all human	all mobile
>	all animate	all mobile
>	all mammal	all mobile
>	all hungry	all live
>	all bark	all live
>	all French	all European
>	all Parisian	all European
>	all Parisian	all French
>	all hungry	all animate
>	all bark	all animate
>	all sofa	all inanimate
>	all couch	all inanimate
>	all immobile	all inanimate
>	all dead	all inanimate
>	all seat	all inanimate
>	all bench	all inanimate
>	all woody	all inanimate
>	all plant	all inanimate
>	all tree	all inanimate
>	all oak	all inanimate
>	all bush	all inanimate
>	all sofa	all seat
>	all couch	all seat
>	all bench	all seat
>	all tree	all plant
>	all oak	all plant
>	all bush	all plant
>	all oak	all tree
>	all hippo	all destructible
>	all ape	all destructible
>	all animal	all destructible
>	all dog	all destructible
>	all cat	all destructible
>	all bird	all destructible
>	all crow	all destructible
>	all sofa	all destructible
>	all couch	all destructible
>	all snail	all destructible
>	all vertebrate	all destructible
>	all invertebrate	all destructible
>	all bark	all destructible
>	all puppy	all destructible
>	all feline	all destructible
>	all dead	all destructible
>	all live	all destructible
>	all human	all destructible
>	all animate	all destructible
>	all seat	all destructible
>	all bench	all destructible
>	all woody	all destructible
>	all plant	all destructible
>	all tree	all destructible
>	all oak	all destructible
>	all bush	all destructible
>	all mammal	all destructible
>	all hippo	all mammal
>	all ape	all mammal
>	all dog	all mammal
>	all cat	all mammal
>	all bark	all mammal
>	all puppy	all mammal
>	all feline	all mammal
>	all human	all mammal
