% BQ all-some
<	all hippo	some hippo
<	all hungry	some hungry
<	all non-ape	some non-ape
<	all ape	some ape
<	all animal	some animal
<	all dog	some dog
<	all cat	some cat
<	all unable	some unable
<	all able	some able
<	all Thai	some Thai
<	all Asian	some Asian
<	all bird	some bird
<	all crow	some crow
<	all sofa	some sofa
<	all couch	some couch
<	all snail	some snail
<	all vertebrate	some vertebrate
<	all invertebrate	some invertebrate
<	all bark	some bark
<	all puppy	some puppy
<	all feline	some feline
<	all mobile	some mobile
<	all immobile	some immobile
<	all dead	some dead
<	all live	some live
<	all European	some European
<	all French	some French
<	all Parisian	some Parisian
<	all human	some human
<	all animate	some animate
<	all inanimate	some inanimate
<	all seat	some seat
<	all bench	some bench
<	all woody	some woody
<	all plant	some plant
<	all tree	some tree
<	all oak	some oak
<	all bush	some bush
<	all destructible	some destructible
<	all indestructible	some indestructible
<	all mammal	some mammal
