% BQ some-no
^	( some hippo ) Parisian	( no hippo ) Parisian	
^	( some hungry ) Parisian	( no hungry ) Parisian	
^	( some non-ape ) Parisian	( no non-ape ) Parisian	
^	( some ape ) Parisian	( no ape ) Parisian	
^	( some animal ) Parisian	( no animal ) Parisian	
^	( some dog ) Parisian	( no dog ) Parisian	
^	( some cat ) Parisian	( no cat ) Parisian	
^	( some able ) Parisian	( no able ) Parisian	
^	( some unable ) Parisian	( no unable ) Parisian	
^	( some Thai ) Parisian	( no Thai ) Parisian	
^	( some Asian ) Parisian	( no Asian ) Parisian	
^	( some bird ) Parisian	( no bird ) Parisian	
^	( some crow ) Parisian	( no crow ) Parisian	
^	( some sofa ) Parisian	( no sofa ) Parisian	
^	( some couch ) Parisian	( no couch ) Parisian	
^	( some snail ) Parisian	( no snail ) Parisian	
^	( some vertebrate ) Parisian	( no vertebrate ) Parisian	
^	( some invertebrate ) Parisian	( no invertebrate ) Parisian	
^	( some bark ) Parisian	( no bark ) Parisian	
^	( some puppy ) Parisian	( no puppy ) Parisian	
^	( some feline ) Parisian	( no feline ) Parisian	
^	( some mobile ) Parisian	( no mobile ) Parisian	
^	( some immobile ) Parisian	( no immobile ) Parisian	
^	( some dead ) Parisian	( no dead ) Parisian	
^	( some live ) Parisian	( no live ) Parisian	
^	( some European ) Parisian	( no European ) Parisian	
^	( some French ) Parisian	( no French ) Parisian	
% ^	( some Parisian ) Parisian	( no Parisian ) Parisian	
^	( some human ) Parisian	( no human ) Parisian	
^	( some animate ) Parisian	( no animate ) Parisian	
^	( some inanimate ) Parisian	( no inanimate ) Parisian	
^	( some seat ) Parisian	( no seat ) Parisian	
^	( some bench ) Parisian	( no bench ) Parisian	
^	( some woody ) Parisian	( no woody ) Parisian	
^	( some plant ) Parisian	( no plant ) Parisian	
^	( some tree ) Parisian	( no tree ) Parisian	
^	( some oak ) Parisian	( no oak ) Parisian	
^	( some bush ) Parisian	( no bush ) Parisian	
^	( some destructible ) Parisian	( no destructible ) Parisian	
^	( some indestructible ) Parisian	( no indestructible ) Parisian	
^	( some mammal ) Parisian	( no mammal ) Parisian	
