% MTI-MTI Thai animal
<	Thai hippo	animal
<	Thai hungry	animal
#	Thai non-ape	animal
<	Thai ape	animal
<	Thai animal	animal
<	Thai dog	animal
<	Thai cat	animal
#	Thai unable	animal
#	Thai able	animal
#	Thai Asian	animal
<	Thai bird	animal
<	Thai crow	animal
|	Thai sofa	animal
|	Thai couch	animal
<	Thai snail	animal
<	Thai vertebrate	animal
<	Thai invertebrate	animal
<	Thai bark	animal
<	Thai puppy	animal
<	Thai feline	animal
#	Thai mobile	animal
#	Thai immobile	animal
#	Thai dead	animal
#	Thai live	animal
<	Thai human	animal
<	Thai animate	animal
<	Thai inanimate	animal
|	Thai seat	animal
|	Thai bench	animal
|	Thai woody	animal
|	Thai plant	animal
|	Thai tree	animal
|	Thai oak	animal
|	Thai bush	animal
<	Thai destructible	animal
|	Thai indestructible	animal
<	Thai mammal	animal
