% MTI null-Thai
>	hippo	Thai hippo
>	non-ape	Thai non-ape
>	ape	Thai ape
>	animal	Thai animal
>	dog	Thai dog
>	cat	Thai cat
>	unable	Thai unable
>	able	Thai able
>	hungry	Thai hungry
>	Asian	Thai Asian
>	bird	Thai bird
>	crow	Thai crow
>	sofa	Thai sofa
>	couch	Thai couch
>	snail	Thai snail
>	vertebrate	Thai vertebrate
>	invertebrate	Thai invertebrate
>	bark	Thai bark
>	puppy	Thai puppy
>	feline	Thai feline
>	mobile	Thai mobile
>	immobile	Thai immobile
>	dead	Thai dead
>	live	Thai live
>	human	Thai human
>	animate	Thai animate
>	inanimate	Thai inanimate
>	seat	Thai seat
>	bench	Thai bench
>	woody	Thai woody
>	plant	Thai plant
>	tree	Thai tree
>	oak	Thai oak
>	bush	Thai bush
>	destructible	Thai destructible
>	indestructible	Thai indestructible
>	mammal	Thai mammal
