<	hippo	European ( or hippo )
<	hungry	European ( or hungry )
<	non-ape	European ( or non-ape )
<	ape	European ( or ape )
<	animal	European ( or animal )
<	dog	European ( or dog )
<	cat	European ( or cat )
<	unable	European ( or unable )
<	able	European ( or able )
<	Thai	European ( or Thai )
<	Asian	European ( or Asian )
<	bird	European ( or bird )
<	crow	European ( or crow )
<	sofa	European ( or sofa )
<	couch	European ( or couch )
<	snail	European ( or snail )
<	vertebrate	European ( or vertebrate )
<	invertebrate	European ( or invertebrate )
<	bark	European ( or bark )
<	puppy	European ( or puppy )
<	feline	European ( or feline )
<	mobile	European ( or mobile )
<	immobile	European ( or immobile )
<	dead	European ( or dead )
<	live	European ( or live )
<	European	European ( or European )
<	French	European ( or French )
<	Parisian	European ( or Parisian )
<	human	European ( or human )
<	animate	European ( or animate )
<	inanimate	European ( or inanimate )
<	seat	European ( or seat )
<	bench	European ( or bench )
<	woody	European ( or woody )
<	plant	European ( or plant )
<	tree	European ( or tree )
<	oak	European ( or oak )
<	bush	European ( or bush )
<	destructible	European ( or destructible )
<	indestructible	European ( or indestructible )
<	mammal	European ( or mammal )
