>	all ( mobile hippo )	all hippo
>	all ( mobile hungry )	all hungry
>	all ( mobile non-ape )	all non-ape
>	all ( mobile ape )	all ape
>	all ( mobile animal )	all animal
>	all ( mobile dog )	all dog
>	all ( mobile cat )	all cat
>	all ( mobile unable )	all unable
>	all ( mobile able )	all able
>	all ( mobile Thai )	all Thai
>	all ( mobile Asian )	all Asian
>	all ( mobile bird )	all bird
>	all ( mobile crow )	all crow
>	all ( mobile sofa )	all sofa
>	all ( mobile couch )	all couch
>	all ( mobile snail )	all snail
>	all ( mobile vertebrate )	all vertebrate
>	all ( mobile invertebrate )	all invertebrate
>	all ( mobile bark )	all bark
>	all ( mobile puppy )	all puppy
>	all ( mobile feline )	all feline
>	all ( mobile mobile )	all mobile
>	all ( mobile immobile )	all immobile
>	all ( mobile dead )	all dead
>	all ( mobile live )	all live
>	all ( mobile European )	all European
>	all ( mobile French )	all French
>	all ( mobile Parisian )	all Parisian
>	all ( mobile human )	all human
>	all ( mobile animate )	all animate
>	all ( mobile inanimate )	all inanimate
>	all ( mobile seat )	all seat
>	all ( mobile bench )	all bench
>	all ( mobile woody )	all woody
>	all ( mobile plant )	all plant
>	all ( mobile tree )	all tree
>	all ( mobile oak )	all oak
>	all ( mobile bush )	all bush
>	all ( mobile destructible )	all destructible
>	all ( mobile indestructible )	all indestructible
>	all ( mobile mammal )	all mammal
