|	most ( bark hippo )	no hippo
|	most ( bark hungry )	no hungry
|	most ( bark non-ape )	no non-ape
|	most ( bark ape )	no ape
|	most ( bark animal )	no animal
|	most ( bark dog )	no dog
|	most ( bark cat )	no cat
|	most ( bark unable )	no unable
|	most ( bark able )	no able
|	most ( bark Thai )	no Thai
|	most ( bark Asian )	no Asian
|	most ( bark bird )	no bird
|	most ( bark crow )	no crow
|	most ( bark sofa )	no sofa
|	most ( bark couch )	no couch
|	most ( bark snail )	no snail
|	most ( bark vertebrate )	no vertebrate
|	most ( bark invertebrate )	no invertebrate
|	most ( bark bark )	no bark
|	most ( bark puppy )	no puppy
|	most ( bark feline )	no feline
|	most ( bark mobile )	no mobile
|	most ( bark immobile )	no immobile
|	most ( bark dead )	no dead
|	most ( bark live )	no live
|	most ( bark European )	no European
|	most ( bark French )	no French
|	most ( bark Parisian )	no Parisian
|	most ( bark human )	no human
|	most ( bark animate )	no animate
|	most ( bark inanimate )	no inanimate
|	most ( bark seat )	no seat
|	most ( bark bench )	no bench
|	most ( bark woody )	no woody
|	most ( bark plant )	no plant
|	most ( bark tree )	no tree
|	most ( bark oak )	no oak
|	most ( bark bush )	no bush
|	most ( bark destructible )	no destructible
|	most ( bark indestructible )	no indestructible
|	most ( bark mammal )	no mammal
