<	three ( European hippo )	some hippo
<	three ( European hungry )	some hungry
<	three ( European non-ape )	some non-ape
<	three ( European ape )	some ape
<	three ( European animal )	some animal
<	three ( European dog )	some dog
<	three ( European cat )	some cat
<	three ( European unable )	some unable
<	three ( European able )	some able
<	three ( European Thai )	some Thai
<	three ( European Asian )	some Asian
<	three ( European bird )	some bird
<	three ( European crow )	some crow
<	three ( European sofa )	some sofa
<	three ( European couch )	some couch
<	three ( European snail )	some snail
<	three ( European vertebrate )	some vertebrate
<	three ( European invertebrate )	some invertebrate
<	three ( European bark )	some bark
<	three ( European puppy )	some puppy
<	three ( European feline )	some feline
<	three ( European mobile )	some mobile
<	three ( European immobile )	some immobile
<	three ( European dead )	some dead
<	three ( European live )	some live
<	three ( European European )	some European
<	three ( European French )	some French
<	three ( European Parisian )	some Parisian
<	three ( European human )	some human
<	three ( European animate )	some animate
<	three ( European inanimate )	some inanimate
<	three ( European seat )	some seat
<	three ( European bench )	some bench
<	three ( European woody )	some woody
<	three ( European plant )	some plant
<	three ( European tree )	some tree
<	three ( European oak )	some oak
<	three ( European bush )	some bush
<	three ( European destructible )	some destructible
<	three ( European indestructible )	some indestructible
<	three ( European mammal )	some mammal
