<	three ( bark hippo )	some hippo
<	three ( bark hungry )	some hungry
<	three ( bark non-ape )	some non-ape
<	three ( bark ape )	some ape
<	three ( bark animal )	some animal
<	three ( bark dog )	some dog
<	three ( bark cat )	some cat
<	three ( bark unable )	some unable
<	three ( bark able )	some able
<	three ( bark Thai )	some Thai
<	three ( bark Asian )	some Asian
<	three ( bark bird )	some bird
<	three ( bark crow )	some crow
<	three ( bark sofa )	some sofa
<	three ( bark couch )	some couch
<	three ( bark snail )	some snail
<	three ( bark vertebrate )	some vertebrate
<	three ( bark invertebrate )	some invertebrate
<	three ( bark bark )	some bark
<	three ( bark puppy )	some puppy
<	three ( bark feline )	some feline
<	three ( bark mobile )	some mobile
<	three ( bark immobile )	some immobile
<	three ( bark dead )	some dead
<	three ( bark live )	some live
<	three ( bark European )	some European
<	three ( bark French )	some French
<	three ( bark Parisian )	some Parisian
<	three ( bark human )	some human
<	three ( bark animate )	some animate
<	three ( bark inanimate )	some inanimate
<	three ( bark seat )	some seat
<	three ( bark bench )	some bench
<	three ( bark woody )	some woody
<	three ( bark plant )	some plant
<	three ( bark tree )	some tree
<	three ( bark oak )	some oak
<	three ( bark bush )	some bush
<	three ( bark destructible )	some destructible
<	three ( bark indestructible )	some indestructible
<	three ( bark mammal )	some mammal
