<	three ( European hippo )	three hippo
<	three ( European hungry )	three hungry
<	three ( European non-ape )	three non-ape
<	three ( European ape )	three ape
<	three ( European animal )	three animal
<	three ( European dog )	three dog
<	three ( European cat )	three cat
<	three ( European unable )	three unable
<	three ( European able )	three able
<	three ( European Thai )	three Thai
<	three ( European Asian )	three Asian
<	three ( European bird )	three bird
<	three ( European crow )	three crow
<	three ( European sofa )	three sofa
<	three ( European couch )	three couch
<	three ( European snail )	three snail
<	three ( European vertebrate )	three vertebrate
<	three ( European invertebrate )	three invertebrate
<	three ( European bark )	three bark
<	three ( European puppy )	three puppy
<	three ( European feline )	three feline
<	three ( European mobile )	three mobile
<	three ( European immobile )	three immobile
<	three ( European dead )	three dead
<	three ( European live )	three live
<	three ( European European )	three European
<	three ( European French )	three French
<	three ( European Parisian )	three Parisian
<	three ( European human )	three human
<	three ( European animate )	three animate
<	three ( European inanimate )	three inanimate
<	three ( European seat )	three seat
<	three ( European bench )	three bench
<	three ( European woody )	three woody
<	three ( European plant )	three plant
<	three ( European tree )	three tree
<	three ( European oak )	three oak
<	three ( European bush )	three bush
<	three ( European destructible )	three destructible
<	three ( European indestructible )	three indestructible
<	three ( European mammal )	three mammal
