<	three ( European hippo )	two hippo
<	three ( European hungry )	two hungry
<	three ( European non-ape )	two non-ape
<	three ( European ape )	two ape
<	three ( European animal )	two animal
<	three ( European dog )	two dog
<	three ( European cat )	two cat
<	three ( European unable )	two unable
<	three ( European able )	two able
<	three ( European Thai )	two Thai
<	three ( European Asian )	two Asian
<	three ( European bird )	two bird
<	three ( European crow )	two crow
<	three ( European sofa )	two sofa
<	three ( European couch )	two couch
<	three ( European snail )	two snail
<	three ( European vertebrate )	two vertebrate
<	three ( European invertebrate )	two invertebrate
<	three ( European bark )	two bark
<	three ( European puppy )	two puppy
<	three ( European feline )	two feline
<	three ( European mobile )	two mobile
<	three ( European immobile )	two immobile
<	three ( European dead )	two dead
<	three ( European live )	two live
<	three ( European European )	two European
<	three ( European French )	two French
<	three ( European Parisian )	two Parisian
<	three ( European human )	two human
<	three ( European animate )	two animate
<	three ( European inanimate )	two inanimate
<	three ( European seat )	two seat
<	three ( European bench )	two bench
<	three ( European woody )	two woody
<	three ( European plant )	two plant
<	three ( European tree )	two tree
<	three ( European oak )	two oak
<	three ( European bush )	two bush
<	three ( European destructible )	two destructible
<	three ( European indestructible )	two indestructible
<	three ( European mammal )	two mammal
