<	bark hippo	hippo
<	bark hungry	hungry
<	bark non-ape	non-ape
<	bark ape	ape
<	bark animal	animal
<	bark dog	dog
<	bark cat	cat
<	bark unable	unable
<	bark able	able
<	bark Thai	Thai
<	bark Asian	Asian
<	bark bird	bird
<	bark crow	crow
<	bark sofa	sofa
<	bark couch	couch
<	bark snail	snail
<	bark vertebrate	vertebrate
<	bark invertebrate	invertebrate
<	bark bark	bark
<	bark puppy	puppy
<	bark feline	feline
<	bark mobile	mobile
<	bark immobile	immobile
<	bark dead	dead
<	bark live	live
<	bark European	European
<	bark French	French
<	bark Parisian	Parisian
<	bark human	human
<	bark animate	animate
<	bark inanimate	inanimate
<	bark seat	seat
<	bark bench	bench
<	bark woody	woody
<	bark plant	plant
<	bark tree	tree
<	bark oak	oak
<	bark bush	bush
<	bark destructible	destructible
<	bark indestructible	indestructible
<	bark mammal	mammal
