|	three hippo	no hippo
|	three hungry	no hungry
|	three non-ape	no non-ape
|	three ape	no ape
|	three animal	no animal
|	three dog	no dog
|	three cat	no cat
|	three unable	no unable
|	three able	no able
|	three Thai	no Thai
|	three Asian	no Asian
|	three bird	no bird
|	three crow	no crow
|	three sofa	no sofa
|	three couch	no couch
|	three snail	no snail
|	three vertebrate	no vertebrate
|	three invertebrate	no invertebrate
|	three bark	no bark
|	three puppy	no puppy
|	three feline	no feline
|	three mobile	no mobile
|	three immobile	no immobile
|	three dead	no dead
|	three live	no live
|	three European	no European
|	three French	no French
|	three Parisian	no Parisian
|	three human	no human
|	three animate	no animate
|	three inanimate	no inanimate
|	three seat	no seat
|	three bench	no bench
|	three woody	no woody
|	three plant	no plant
|	three tree	no tree
|	three oak	no oak
|	three bush	no bush
|	three destructible	no destructible
|	three indestructible	no indestructible
|	three mammal	no mammal
