<	three hippo	some hippo
<	three hungry	some hungry
<	three non-ape	some non-ape
<	three ape	some ape
<	three animal	some animal
<	three dog	some dog
<	three cat	some cat
<	three unable	some unable
<	three able	some able
<	three Thai	some Thai
<	three Asian	some Asian
<	three bird	some bird
<	three crow	some crow
<	three sofa	some sofa
<	three couch	some couch
<	three snail	some snail
<	three vertebrate	some vertebrate
<	three invertebrate	some invertebrate
<	three bark	some bark
<	three puppy	some puppy
<	three feline	some feline
<	three mobile	some mobile
<	three immobile	some immobile
<	three dead	some dead
<	three live	some live
<	three European	some European
<	three French	some French
<	three Parisian	some Parisian
<	three human	some human
<	three animate	some animate
<	three inanimate	some inanimate
<	three seat	some seat
<	three bench	some bench
<	three woody	some woody
<	three plant	some plant
<	three tree	some tree
<	three oak	some oak
<	three bush	some bush
<	three destructible	some destructible
<	three indestructible	some indestructible
<	three mammal	some mammal
