% BQ+MTI all-some animal
<	all hippo	some animal
<	all hungry	some animal
<	all non-ape	some animal
<	all ape	some animal
<	all animal	some animal
<	all dog	some animal
<	all cat	some animal
<	all unable	some animal
<	all able	some animal
<	all Thai	some animal
<	all Asian	some animal
<	all bird	some animal
<	all crow	some animal
#	all sofa	some animal
#	all couch	some animal
<	all snail	some animal
<	all vertebrate	some animal
<	all invertebrate	some animal
<	all bark	some animal
<	all puppy	some animal
<	all feline	some animal
<	all mobile	some animal
#	all immobile	some animal
<	all dead	some animal
<	all live	some animal
<	all European	some animal
<	all French	some animal
<	all Parisian	some animal
<	all human	some animal
<	all animate	some animal
<	all inanimate	some animal
#	all seat	some animal
#	all bench	some animal
#	all woody	some animal
#	all plant	some animal
#	all tree	some animal
#	all oak	some animal
#	all bush	some animal
<	all destructible	some animal
#	all indestructible	some animal
<	all mammal	some animal
