% BQ+MTI no-all animal
|	no hippo	all animal
|	no hungry	all animal
|	no non-ape	all animal
|	no ape	all animal
|	no dog	all animal
|	no cat	all animal
|	no unable	all animal
|	no able	all animal
|	no Thai	all animal
|	no Asian	all animal
|	no bird	all animal
|	no crow	all animal
#	no sofa	all animal
#	no couch	all animal
|	no snail	all animal
|	no vertebrate	all animal
|	no invertebrate	all animal
|	no bark	all animal
|	no puppy	all animal
|	no feline	all animal
|	no mobile	all animal
#	no immobile	all animal
|	no dead	all animal
|	no live	all animal
|	no European	all animal
|	no French	all animal
|	no Parisian	all animal
|	no human	all animal
|	no animate	all animal
|	no inanimate	all animal
#	no seat	all animal
#	no bench	all animal
#	no woody	all animal
#	no plant	all animal
#	no tree	all animal
#	no oak	all animal
#	no bush	all animal
|	no destructible	all animal
#	no indestructible	all animal
|	no mammal	all animal
