% quantpairs
=	some	some
^	some	no
>	some	all
v	some	not_all
>	some	most
v	some	not_most
>	some	two
v	some	lt_two
>	some	three
v	some	lt_three
=	no	no
|	no	all
<	no	not_all
|	no	most
<	no	not_most
|	no	two
<	no	lt_two
|	no	three
<	no	lt_three
=	all	all
^	all	not_all
<	all	most
|	all	not_most
#	all	two
#	all	lt_two
#	all	three
#	all	lt_three
=	not_all	not_all
#	not_all	most
>	not_all	not_most
#	not_all	two
#	not_all	lt_two
#	not_all	three
#	not_all	lt_three
=	most	most
^	most	not_most
#	most	two
#	most	lt_two
#	most	three
#	most	lt_three
=	not_most	not_most
#	not_most	two
#	not_most	lt_two
#	not_most	three
#	not_most	lt_three
=	two	two
^	two	lt_two
>	two	three
v	two	lt_three
=	lt_two	lt_two
|	lt_two	three
>	lt_two	lt_three
=	three	three
^	three	lt_three
=	lt_three	lt_three
