%entailment_judgment	sentence_A	sentence_B	relatedness_score	pair_ID
NEUTRAL	( ( A ( young girl ) ) ( is dancing ) )	( ( A ( young girl ) ) ( is ( standing ( on ( one leg ) ) ) ) )	2.7	6592
ENTAILMENT	( ( A man ) ( is ( walking ( in ( the rain ) ) ) ) )	( It ( is ( raining ( on ( a ( walking man ) ) ) ) ) )	4.9	3670
NEUTRAL	( ( A woman ) ( is ( slicing ( a carrot ) ) ) )	( ( A potato ) ( is ( being ( sliced ( by ( a woman ) ) ) ) ) )	3	1170
ENTAILMENT	( ( A girl ) ( ( ( is ( wearing ( white clothes ) ) ) and ) ( is dancing ) ) )	( ( ( A girl ) ( in white ) ) ( is dancing ) )	4.9	218
CONTRADICTION	( There ( is ( ( no woman ) ( being ( kissed ( by ( a man ) ) ) ) ) ) )	( ( A woman ) ( is ( being ( kissed ( by ( a man ) ) ) ) ) )	4.2	913
ENTAILMENT	( ( The woman ) ( is ( measuring ( the ( other woman ) ) ) ) )	( ( A woman ) ( is ( being ( measured ( by ( another woman ) ) ) ) ) )	4.9	1333
NEUTRAL	( ( A man ) ( is ( playing ( a trumpet ) ) ) )	( ( The man ) ( is ( playing ( a guitar ) ) ) )	2.2	2485
ENTAILMENT	( ( One man ) ( is ( doing ( floor exercises ) ) ) )	( ( A man ) ( is ( doing exercises ) ) )	4.3	3598
ENTAILMENT	( ( A hole ) ( is ( being ( burrowed ( by ( the badger ) ) ) ) ) )	( ( A badger ) ( is ( ( shrewdly digging ) ( the earth ) ) ) )	4.5	1584
CONTRADICTION	( Nobody ( is ( pla(ying ( the guitar ) ) ) )	( ( A man ) ( is ( playing ( the guitar ) ) ) )	3.7	3258
NEUTRAL	( ( A kid ) ( is ( playing guitar ) ) )	( ( A woman ) ( is ( playing ( an ( electric guitar ) ) ) ) )	3	9931
ENTAILMENT	( ( One man ) ( is ( riding ( a horse ) ) ) )	( ( A man ) ( is ( riding ( a horse ) ) ) )	4.7	4079
NEUTRAL	( ( A woman ) ( is ( slicing potatoes ) ) )	( ( A horse ) ( is ( being ( ridden ( by ( a person ) ) ) ) ) )	1	5920
NEUTRAL	( ( A woman ) ( is ( ( ( dancing and ) singing ) ( with ( other women ) ) ) ) )	( ( A woman ) ( is ( ( ( dancing and ) singing ) ( in ( the rain ) ) ) ) )	4.1	1241
ENTAILMENT	( ( A man ) ( is ( ( ( singing and ) playing ) ( a guitar ) ) ) )	( ( A man ) ( is ( ( ( singing and ) playing ) ( a ( musical instrument ) ) ) ) )	4.5	4916
CONTRADICTION	( ( A man ) ( is drawing ) )	( There ( is ( no ( man drawing ) ) ) )	3.8	4321
NEUTRAL	( ( ( A ( few men ) ) ( in ( a competition ) ) ) ( are ( running outside ) ) )	( ( A ( few men ) ) ( are ( ( running competitions ) outside ) ) )	3.9	718
ENTAILMENT	( ( A person ) ( is ( playing ( a ( ( guitar and ) singing ) ) ) ) )	( ( One person ) ( is ( playing ( the ( ( guitar and ) singing ) ) ) ) )	4.9	1964
NEUTRAL	( ( A woman ) ( is ( planting ( some flowers ) ) ) )	( ( A woman ) ( is ( cutting broccoli ) ) )	1.2	1525
NEUTRAL	( ( A keyboard ) ( is ( being ( played ( by ( a man ) ) ) ) ) )	( ( A man ) ( is ( playing ( a harp ) ) ) )	2.4	4638
ENTAILMENT	( Someone ( is ( cooking ( okra ( in ( a pan ) ) ) ) ) )	( Okra ( is ( being ( cooked ( in ( a pan ) ) ) ) ) )	4.9	3536
NEUTRAL	( ( A dog ) ( is ( playing ( with ( a toy ) ) ) ) )	( ( A dog ) ( is ( eating ( a doll ) ) ) )	3.6	4191
NEUTRAL	( ( A baby ) ( is ( playing ( with ( a toy ) ) ) ) )	( ( A ( baby tiger ) ) ( is ( playing ( with ( a ball ) ) ) ) )	3.2	5747
NEUTRAL	( ( A woman ) ( is ( playing ( a guitar ) ) ) )	( ( A ( talented man ) ) ( is ( playing ( the guitar ) ) ) )	3.2	3747
CONTRADICTION	( ( The man ) ( ( is not ) ( slicing ( the potato ) ) ) )	( ( The man ) ( is ( slicing ( a potato ) ) ) )	2.7	2392
CONTRADICTION	( Boys ( are ( dancing ( in ( front ( of ( some people ) ) ) ) ) ) )	( Boys ( ( are not ) ( dancing ( in ( front ( of ( some people ) ) ) ) ) ) )	3.8	3922
CONTRADICTION	( ( A boy ) ( is ( playing guitar ) ) )	( There ( is ( ( no boy ) ( playing guitar ) ) ) )	3.8	4776
NEUTRAL	( ( Two dogs ) ( are ( ( playing together ) ( on ( the grass ) ) ) ) )	( ( Two dogs ) ( are ( ( resting together ) ( in ( the grass ) ) ) ) )	3.3	6231
ENTAILMENT	( ( The doctors ) ( are ( healing ( a man ) ) ) )	( ( The doctor ) ( is ( helping ( the patient ) ) ) )	4.2	4505
CONTRADICTION	( ( A man ) ( is exercising ) )	( There ( is ( ( no man ) exercising ) ) )	3.4	3897
NEUTRAL	( ( ( A girl ) ( in ( a band ) ) ) ( is ( playing ( an instrument ) ) ) )	( ( The dog ) ( is ( snapping ( at ( ( some droplets ) ( of water ) ) ) ) ) )	1	9975
NEUTRAL	( ( The man ) ( is ( ( removing knives ) ( from ( a tree ) ) ) ) )	( ( The man ) ( is ( ( throwing knives ) ( at ( a tree ) ) ) ) )	3.3	4067
CONTRADICTION	( ( A dog ) ( is ( eating ( a doll ) ) ) )	( There ( is ( ( no dog ) ( playing ( with ( a toy ) ) ) ) ) )	3.8	4187
ENTAILMENT	( Noodles ( are ( being ( ( boiled ( in water ) ) ( by ( a woman ) ) ) ) ) )	( ( A woman ) ( is ( boiling ( noodles ( in water ) ) ) ) )	5	2704
ENTAILMENT	( ( A dog ) ( is ( licking ( a baby ) ) ) )	( ( The dog ) ( is ( licking ( the baby ) ) ) )	4.8	3501
NEUTRAL	( ( A ( small ( white dog ) ) ) ( is ( running ( across ( a lawn ) ) ) ) )	( ( A ( big ( white dog ) ) ) ( is ( running ( across ( a lawn ) ) ) ) )	3.1	8841
NEUTRAL	( ( The monkey ) ( is ( brushing ( a ( bull dog ) ) ) ) )	( ( A ( bull dog ) ) ( is ( brushing ( the monkey ) ) ) )	3.9	2606
NEUTRAL	( ( The man ) ( ( is not ) ( hiking ( in ( the woods ) ) ) ) )	( ( A man ) ( is ( trekking ( in ( the woods ) ) ) ) )	3.8	3181
CONTRADICTION	( There ( is ( ( no man ) ( playing ( a flute ) ) ) ) )	( ( A man ) ( is ( playing ( a ( large flute ) ) ) ) )	4.1	5352
ENTAILMENT	( ( The lady ) ( is ( ( picking up ) ( the kangaroo ) ) ) )	( ( The woman ) ( is ( ( picking up ) ( the kangaroo ) ) ) )	4.9	4015
NEUTRAL	( ( The woman ) ( is ( erasing ( ( the drawing ) ( on ( the board ) ) ) ) ) )	( ( The man ) ( is ( erasing ( ( the drawing ) ( on ( the board ) ) ) ) ) )	3.7	4164
NEUTRAL	( ( A man ) ( is ( dancing ( on ( the road ) ) ) ) )	( ( A biker ) ( is ( ( riding away ) ( from ( a fence ) ) ) ) )	1.2	9880
CONTRADICTION	( ( A ( large ( green ball ) ) ) ( is ( hitting ( a potato ) ) ) )	( ( A ( big ( green ball ) ) ) ( is ( missing ( a potato ) ) ) )	3.4	2972
NEUTRAL	( ( A woman ) ( is dancing ) )	( ( The man ) ( ( is not ) dancing ) )	3.3	3518
NEUTRAL	( ( A man ) ( is ( ( laying down ) ( a guitar ) ) ) )	( ( A man ) ( is ( playing ( a guitar ) ) ) )	3.3	2996
ENTAILMENT	( ( The man ) ( is ( speaking ( on ( the telephone ) ) ) ) )	( ( The man ) ( is ( talking ( on ( the telephone ) ) ) ) )	4.9	5030
