hyponym	bears	carry
hypernym	seat	portion
synonym	frame	adjust
synonym	grass	spring
synonym	anniversary	yearly
synonym	went	journey
hypernym	recommend	praise
hyponym	feature	read
hypernym	processed	compute
hypernym	circulation	spreading
synonym	moderate	mild
hypernym	seat	accommodate
synonym	throw	cast
hypernym	bargain	understanding
hypernym	rep	fabric
synonym	obvious	exposed
synonym	conclusion	result
hypernym	test	effort
synonym	pill	rob
synonym	education	culture
synonym	wide	comprehensive
synonym	season	while
synonym	birth	race
synonym	next	immediate
synonym	theme	means
hyponym	switches	jump
hypernym	winter	pass
synonym	office	duty
synonym	deliver	discharge
synonym	execution	performance
synonym	upon	on
synonym	gathering	crowd
hypernym	ref	official
synonym	sharing	divide
synonym	missed	want
synonym	across	on
hypernym	draft	pulling
synonym	more	further
hypernym	clicking	go
synonym	order	direction
synonym	including	hold
hypernym	theme	provide
hypernym	saved	prevent
hypernym	services	operate
hyponym	opportunity	crack
synonym	caused	object
hypernym	inch	progress
hypernym	injection	solution
hypernym	customize	build
antonym	major	minor
hypernym	pound	hold
antonym	someone	nobody
synonym	recommend	mention
synonym	coast	sail
hypernym	know	think
synonym	insert	works
synonym	ground	estate
synonym	management	care
synonym	null	void
synonym	reminder	prompt
synonym	meeting	junction
synonym	lift	atmosphere
hyponym	connector	line
synonym	joint	join
synonym	pets	duck
hypernym	frame	division
hypernym	singapore	island
synonym	gold	golden
hypernym	turn	shift
hypernym	plot	plan
hypernym	bill	push
synonym	external	exterior
hypernym	trust	let
hypernym	figure	illustration
hypernym	launch	begin
hypernym	continue	act
hypernym	winds	lace
hypernym	assessment	charge
hypernym	coal	render
hyponym	says	voice
hypernym	neighborhood	country
hypernym	andrew	saint
synonym	tools	weapon
hypernym	shadow	resort
synonym	commitment	reduction
synonym	names	estimation
synonym	asked	seek
synonym	concerning	important
hyponym	said	raise
synonym	conduct	bearing
synonym	discovered	exhibit
synonym	account	calculation
synonym	august	sublime
synonym	matches	marriage
hypernym	declaration	testimony
synonym	relevant	applicable
synonym	one	they
hyponym	wanted	fancy
synonym	caused	action
synonym	warranty	state
synonym	wallpapers	desktop
hypernym	reverse	gear
synonym	protection	defense
synonym	documents	instrument
synonym	examination	inquiry
synonym	increasing	growing
synonym	plain	simple
synonym	gray	cloudy
hypernym	submitted	apply
hypernym	water	supply
hypernym	rise	change
hypernym	customized	alter
synonym	know	knee
hypernym	capacity	part
synonym	region	sphere
antonym	beneficial	harmful
antonym	enter	exit
synonym	instant	current
synonym	useful	beneficial
hypernym	account	be
hypernym	chosen	favorite
synonym	partners	companion
synonym	downloaded	copy
synonym	rule	empire
hypernym	reason	account
synonym	affiliate	adopt
hypernym	promotion	progress
hyponym	assets	security
synonym	promote	prefer
hyponym	meet	celebrate
hypernym	window	opening
synonym	senior	old
synonym	observation	view
hypernym	right	hand
hypernym	leaving	hand
synonym	tie	knit
hypernym	charts	map
synonym	due	becoming
hypernym	accounting	profit
synonym	weight	moment
synonym	meaning	object
synonym	booty	prize
synonym	studies	meditation
hypernym	tags	call
synonym	ages	lifetime
hypernym	functions	serve
synonym	naked	open
synonym	team	gang
hypernym	designed	specify
synonym	rear	raise
antonym	dirty	clean
synonym	pa	da
hypernym	present	represent
hypernym	appointment	someone
hypernym	graduate	correct
hypernym	simon	singer
synonym	send	grant
synonym	teams	four
hypernym	walker	author
synonym	tail	limitation
synonym	discussed	shake
hypernym	ohio	river
hyponym	creating	proof
hypernym	degree	magnitude
synonym	realize	gain
synonym	shaped	design
antonym	divorce	marriage
synonym	awarded	crown
synonym	conditions	mode
synonym	helpful	beneficial
synonym	verify	confirm
synonym	kingdom	empire
antonym	off	leg
hypernym	life	experience
hypernym	counters	individual
synonym	walk	act
hypernym	master	scholar
hypernym	frames	division
hypernym	graph	diagram
hypernym	killed	destruction
synonym	saying	saw
hypernym	benefits	aid
synonym	profit	service
synonym	island	isle
synonym	computing	figure
synonym	deposits	precipitation
hypernym	translate	equal
synonym	rights	true
hypernym	pit	trap
synonym	motors	automobile
synonym	composition	consistency
hypernym	wire	fix
synonym	spend	spread
synonym	save	protect
synonym	dawn	rise
synonym	price	rate
hypernym	possibility	outlook
hypernym	inventory	imagination
synonym	fails	sink
synonym	trip	fail
synonym	reasoning	rational
synonym	keeping	care
synonym	achieving	accomplish
synonym	meets	satisfy
synonym	mutual	interactive
hypernym	chairman	chair
hypernym	void	alter
hypernym	nose	smell
synonym	stack	group
synonym	coast	slide
hypernym	make	total
synonym	cause	reason
synonym	primary	fundamental
synonym	modified	amend
synonym	age	period
antonym	dark	light
synonym	complaint	disorder
synonym	bond	chains
synonym	inspection	examination
synonym	usage	method
hypernym	occasion	reason
hypernym	company	affiliate
hypernym	pour	render
hypernym	moves	change
hypernym	reaction	response
antonym	plain	mountain
hypernym	li	metal
synonym	wild	savage
hypernym	crowd	fill
hyponym	account	balance
synonym	eternal	infinite
hypernym	command	availability
synonym	submitted	subject
hypernym	leaving	have
synonym	fund	bank
hypernym	mesh	coordinate
hypernym	movement	action
synonym	flag	pine
synonym	obligation	mortgage
antonym	daughter	father
antonym	favorite	least
hypernym	legitimate	justify
synonym	require	need
hypernym	tune	adjust
synonym	producer	cause
hypernym	allows	afford
synonym	put	set
hypernym	survive	overcome
hypernym	seeking	go
hypernym	state	suggest
hypernym	wonder	occurrence
synonym	white	favorite
synonym	suit	set
synonym	take	capture
hypernym	fees	provide
hypernym	engage	employ
synonym	page	writing
synonym	issue	conclusion
hypernym	refer	name
hypernym	score	reason
synonym	said	trial
hyponym	spend	soldier
hypernym	condition	learn
synonym	historical	historic
hypernym	response	fashion
synonym	bulk	mass
synonym	toward	about
synonym	light	existence
antonym	unusual	common
synonym	quality	nature
synonym	effective	competent
synonym	pay	reward
synonym	glory	heaven
synonym	useful	valuable
synonym	shape	suit
synonym	liable	subject
hypernym	move	propose
synonym	peaceful	mild
hypernym	appreciate	understand
synonym	commonwealth	community
synonym	command	rule
hypernym	down	overcome
synonym	province	office
synonym	development	disclosure
synonym	turn	convert
hypernym	premium	incentive
hypernym	release	product
hypernym	loading	ware
hypernym	minority	number
antonym	protect	attack
synonym	judgment	estimate
hypernym	orchestra	seating
hypernym	netscape	browser
hypernym	neck	part
hypernym	express	shipping
hypernym	grid	installation
hypernym	representing	be
hypernym	cooler	refrigerator
hypernym	holds	entrance
hypernym	solo	activity
hypernym	might	strength
synonym	dir	pine
hypernym	google	search
hyponym	knowledge	equivalent
synonym	company	society
hypernym	counseling	message
hypernym	round	serving
antonym	forget	learn
synonym	sheep	fold
synonym	greatly	much
antonym	liked	hate
synonym	blow	assault
hypernym	world	piece
hypernym	look	rely
hypernym	reviews	retrieve
